,ZEROX_v1_started_ZEROX_v1_won,ZEROX_v1_started_Tie
0,,36.0
1,15.0,
2,,
3,,
4,,
5,,
6,11.0,
7,11.0,
8,15.0,
9,17.0,
10,,
11,,
12,15.0,
13,,
14,13.0,
15,,
16,,
17,11.0,
18,,
19,,
20,9.0,
21,,
22,11.0,
23,,
24,11.0,
25,,
26,,
27,,36.0
28,,
29,11.0,
30,,
31,29.0,
32,,
33,,
34,,
35,,
36,,
37,,
38,11.0,
39,19.0,
40,,
41,,
42,,
43,,
44,13.0,
45,11.0,
46,,
47,,
48,19.0,
49,,
