,FLAT_v3_started_FLAT_v3_won,UCT_2000_started_FLAT_v3_won,FLAT_v3_started_Tie,UCT_2000_started_Tie,FLAT_v3_started_UCT_2000_won,UCT_2000_started_UCT_2000_won
0,,10.0,,,,
1,15.0,,,,,
2,,,,,,23.0
3,,12.0,,,,
4,7.0,,,,,
5,,8.0,,,,
6,,,,,,21.0
7,7.0,,,,,
8,,,,,,29.0
9,7.0,,,,,
10,,14.0,,,,
11,7.0,,,,,
12,7.0,,,,,
13,,,,,,9.0
14,,,,,,13.0
15,,,,,,9.0
16,,,,,,9.0
17,11.0,,,,,
18,,,,,,9.0
19,,10.0,,,,
20,,,,,,7.0
21,,10.0,,,,
22,7.0,,,,,
23,,10.0,,,,
24,,10.0,,,,
25,7.0,,,,,
26,9.0,,,,,
27,9.0,,,,,
28,,14.0,,,,
29,,,,,,11.0
30,,8.0,,,,
31,11.0,,,,,
32,,,,,,13.0
33,,,,,,11.0
34,,10.0,,,,
35,7.0,,,,,
36,,8.0,,,,
37,7.0,,,,,
38,,,,,,17.0
39,,,,,,9.0
40,,14.0,,,,
41,,10.0,,,,
42,,12.0,,,,
43,7.0,,,,,
44,,,,,,15.0
45,7.0,,,,,
46,,8.0,,,,
47,,,,,,13.0
48,,10.0,,,,
49,7.0,,,,,
