,FLAT_v1_started_FLAT_v1_won,UCT_5000_started_FLAT_v1_won,FLAT_v1_started_Tie,UCT_5000_started_Tie,FLAT_v1_started_UCT_5000_won,UCT_5000_started_UCT_5000_won
0,,,,,12.0,
1,,,,,28.0,
2,,,,,,9.0
3,,,,,12.0,
4,,,,,18.0,
5,,,,,,11.0
6,,,,,,9.0
7,,,,,,11.0
8,,,,,,9.0
9,,,,,,9.0
10,,,,,,9.0
11,,,,,12.0,
12,,,,,,9.0
13,,,,,12.0,
14,,,,,,7.0
15,,,,,12.0,
16,,,,,,7.0
17,,,,,12.0,
18,,,,,,9.0
19,,,,,10.0,
20,,8.0,,,,
21,,,,,,7.0
22,,,,,12.0,
23,7.0,,,,,
24,,,,,,9.0
25,,,,,,9.0
26,,,,,,11.0
27,,,,,,9.0
28,11.0,,,,,
29,,,,,,7.0
30,,,,,14.0,
31,,,,,,11.0
32,,,,,,9.0
33,,,,,14.0,
34,,,,,,11.0
35,,,,,,9.0
36,,,,,,9.0
37,,,,,,9.0
38,11.0,,,,,
39,,,,,18.0,
40,,,,,12.0,
41,,,,,,7.0
42,,,,,,11.0
43,,,,,,9.0
44,,,,,12.0,
45,13.0,,,,,
46,,,,,12.0,
47,,,,,,9.0
48,,,,,14.0,
49,,,,,14.0,
