,FLAT_v2_started_FLAT_v2_won,FLAT_v2_started_Tie
0,,
1,9.0,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,9.0,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,17.0,
19,9.0,
20,17.0,
21,9.0,
22,15.0,
23,7.0,
24,,
25,,
26,,
27,,
28,9.0,
29,,
30,9.0,
31,,
32,11.0,
33,,
34,11.0,
35,9.0,
36,,
37,,
38,,
39,,
40,19.0,
41,,
42,11.0,
43,,
44,,
45,15.0,
46,11.0,
47,19.0,
48,11.0,
49,9.0,
