,ZERO_v2_started_ZERO_v2_won,UCT_3000_started_ZERO_v2_won,ZERO_v2_started_Tie,UCT_3000_started_Tie,ZERO_v2_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,,10.0,,,,
1,,,,,,17.0
2,11.0,,,,,
3,,8.0,,,,
4,7.0,,,,,
5,,8.0,,,,
6,,,,,,13.0
7,,,,,,11.0
8,7.0,,,,,
9,,,,36.0,,
10,,8.0,,,,
11,,,,,,13.0
12,7.0,,,,,
13,,10.0,,,,
14,11.0,,,,,
15,9.0,,,,,
16,,,,,,11.0
17,11.0,,,,,
18,,,,,,9.0
19,7.0,,,,,
20,,,,,,13.0
21,7.0,,,,,
22,7.0,,,,,
23,,,,,,15.0
24,,,,,,13.0
25,,14.0,,,,
26,7.0,,,,,
27,11.0,,,,,
28,11.0,,,,,
29,7.0,,,,,
30,7.0,,,,,
31,,,,,,11.0
32,,,,,,17.0
33,7.0,,,,,
34,11.0,,,,,
35,11.0,,,,,
36,,12.0,,,,
37,11.0,,,,,
38,,,,,,11.0
39,11.0,,,,,
40,11.0,,,,,
41,7.0,,,,,
42,,,,,,17.0
43,7.0,,,,,
44,7.0,,,,,
45,9.0,,,,,
46,,,,,,13.0
47,11.0,,,,,
48,7.0,,,,,
49,7.0,,,,,
