,FLAT_v1_started_FLAT_v1_won,UCT_4000_started_FLAT_v1_won,FLAT_v1_started_Tie,UCT_4000_started_Tie,FLAT_v1_started_UCT_4000_won,UCT_4000_started_UCT_4000_won
0,11.0,,,,,
1,,,,,,9.0
2,7.0,,,,,
3,,,,,,9.0
4,7.0,,,,,
5,,12.0,,,,
6,,,,,14.0,
7,7.0,,,,,
8,,,,,12.0,
9,17.0,,,,,
10,,,,,12.0,
11,,,,,12.0,
12,,,,,12.0,
13,7.0,,,,,
14,,,,,12.0,
15,,,,,,19.0
16,,,,,,11.0
17,9.0,,,,,
18,7.0,,,,,
19,,,,,14.0,
20,7.0,,,,,
21,,10.0,,,,
22,7.0,,,,,
23,,,,,10.0,
24,15.0,,,,,
25,,,,,12.0,
26,,,,,,9.0
27,11.0,,,,,
28,,,,,14.0,
29,,,,,14.0,
30,,,,,12.0,
31,7.0,,,,,
32,9.0,,,,,
33,,,,,12.0,
34,,,,,10.0,
35,7.0,,,,,
36,,,,,14.0,
37,,,,,,11.0
38,,,,,,9.0
39,19.0,,,,,
40,,,,,,7.0
41,7.0,,,,,
42,,,,,,7.0
43,,,,,,9.0
44,9.0,,,,,
45,,,,,,9.0
46,,,,,,7.0
47,,10.0,,,,
48,11.0,,,,,
49,,,,,14.0,
