,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,2.5304110050201416,2.300023078918457,1.3290061950683594,,,,,,,,,,,,,,,
1,2.882899045944214,2.2657899856567383,2.417968988418579,2.0357627868652344,1.6443519592285156,0.5311589241027832,,,,,,,,,,,,
2,2.6619460582733154,2.481518030166626,2.2636942863464355,2.2745039463043213,1.8393330574035645,1.4046108722686768,0.8484139442443848,,,,,,,,,,,
3,2.6975748538970947,2.5590548515319824,2.3095250129699707,1.8914401531219482,1.2004177570343018,,,,,,,,,,,,,
4,2.5180609226226807,2.421938180923462,1.9447948932647705,1.6208770275115967,0.9716579914093018,,,,,,,,,,,,,
5,2.644430160522461,2.504782199859619,2.218135118484497,2.164888858795166,2.009716033935547,1.1421568393707275,1.0703260898590088,,,,,,,,,,,
6,2.571139097213745,2.413299083709717,2.0421619415283203,2.1776559352874756,1.9321439266204834,1.0442540645599365,1.1420948505401611,,,,,,,,,,,
7,2.6462128162384033,2.5130162239074707,2.3286209106445312,1.9240241050720215,1.6496250629425049,0.9150691032409668,,,,,,,,,,,,
8,2.639725923538208,2.5868148803710938,2.009838104248047,1.2853879928588867,,,,,,,,,,,,,,
9,2.508291006088257,2.304409980773926,1.1376819610595703,,,,,,,,,,,,,,,
0,2.5449001789093018,2.365875005722046,2.165091037750244,1.407545804977417,1.1875369548797607,,,,,,,,,,,,,
1,2.6288020610809326,2.495698928833008,2.058772087097168,1.8874919414520264,2.1266801357269287,1.161604881286621,1.0364558696746826,,,,,,,,,,,
2,2.6309890747070312,2.2372829914093018,2.344162940979004,2.0322911739349365,2.0353710651397705,1.937180995941162,1.1113169193267822,0.5060410499572754,,,,,,,,,,
3,2.685080051422119,2.44822096824646,2.1358728408813477,2.124598741531372,1.9172580242156982,1.4050099849700928,0.802819013595581,,,,,,,,,,,
4,2.5181238651275635,2.37123703956604,1.3326280117034912,,,,,,,,,,,,,,,
5,2.846609115600586,2.2439513206481934,2.0898489952087402,2.148728847503662,1.8373801708221436,0.5269937515258789,,,,,,,,,,,,
6,2.6477136611938477,2.4835216999053955,2.034166097640991,2.273297071456909,2.0005218982696533,1.3401122093200684,0.8260619640350342,,,,,,,,,,,
7,2.643845796585083,2.4906821250915527,2.030146837234497,2.236079692840576,2.0070929527282715,2.1449427604675293,1.9796369075775146,1.2561399936676025,0.5299961566925049,,,,,,,,,
8,2.58787202835083,2.320220947265625,2.046924591064453,1.1823689937591553,,,,,,,,,,,,,,
9,2.5867178440093994,2.3339240550994873,1.489457130432129,,,,,,,,,,,,,,,
0,2.7302839756011963,2.5918002128601074,2.256770133972168,2.1276369094848633,1.5872478485107422,0.5998332500457764,,,,,,,,,,,,
1,2.597115993499756,2.371832847595215,2.170886993408203,1.3736960887908936,1.2074360847473145,,,,,,,,,,,,,
2,2.6491031646728516,2.233372926712036,2.3515820503234863,2.184305191040039,2.0798542499542236,2.004559278488159,1.650454044342041,1.8399081230163574,1.225865125656128,0.4999701976776123,,,,,,,,
3,2.686976194381714,2.5023131370544434,2.0184268951416016,2.1706528663635254,1.1765549182891846,,,,,,,,,,,,,
4,2.504502773284912,2.0785298347473145,2.157637119293213,1.3723118305206299,,,,,,,,,,,,,,
5,2.6511809825897217,2.4955618381500244,2.101254940032959,2.2346088886260986,1.7247591018676758,0.522212028503418,,,,,,,,,,,,
6,2.52109694480896,2.139162302017212,2.241142988204956,1.562856912612915,0.9533030986785889,,,,,,,,,,,,,
7,2.6531548500061035,2.465149164199829,2.2816550731658936,2.158618688583374,1.859550952911377,1.4510509967803955,0.8643529415130615,,,,,,,,,,,
8,2.511997938156128,2.3219940662384033,1.1490108966827393,,,,,,,,,,,,,,,
9,2.715296983718872,2.4738681316375732,2.0192439556121826,2.2038378715515137,1.7215359210968018,1.1677660942077637,0.5037832260131836,,,,,,,,,,,
