,FLAT_v1_started_FLAT_v1_won,UCT_3000_started_FLAT_v1_won,FLAT_v1_started_Tie,UCT_3000_started_Tie,FLAT_v1_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,11.0,,,,,
1,,,,,,7.0
2,,,,,,11.0
3,,,,,12.0,
4,,,,,,9.0
5,,,,,,9.0
6,,,,,,9.0
7,,,,,12.0,
8,,,,,,9.0
9,,,,,,11.0
10,,,,,14.0,
11,,,,,14.0,
12,,,,,12.0,
13,,,,,,7.0
14,7.0,,,,,
15,,,,,10.0,
16,,,,,14.0,
17,7.0,,,,,
18,,,,,,9.0
19,17.0,,,,,
20,,,,,,9.0
21,11.0,,,,,
22,,,,,,11.0
23,13.0,,,,,
24,13.0,,,,,
25,,8.0,,,,
26,,,,,,9.0
27,,,,,,9.0
28,7.0,,,,,
29,,,,,12.0,
30,7.0,,,,,
31,,,,,,9.0
32,15.0,,,,,
33,,,,,,9.0
34,,,,,,7.0
35,,,,,,9.0
36,11.0,,,,,
37,,,,,,11.0
38,,,,,,7.0
39,,,,,22.0,
40,,,,,,13.0
41,7.0,,,,,
42,,8.0,,,,
43,,,,,,7.0
44,7.0,,,,,
45,11.0,,,,,
46,11.0,,,,,
47,,,,,,9.0
48,,,,,,9.0
49,,,,,,9.0
