,ZEROX_v1_started_ZEROX_v1_won,ZEROX_v3_started_ZEROX_v1_won,ZEROX_v1_started_Tie,ZEROX_v3_started_Tie,ZEROX_v1_started_ZEROX_v3_won,ZEROX_v3_started_ZEROX_v3_won
0,11.0,,,,,
1,,,,,,11.0
2,,,,,12.0,
3,11.0,,,,,
4,,,,,,7.0
5,9.0,,,,,
6,13.0,,,,,
7,,12.0,,,,
8,,,,,,9.0
9,,,,,,7.0
10,,,,,,7.0
11,,,,,,9.0
12,,,,,,9.0
13,,,,,12.0,
14,,,,,12.0,
15,13.0,,,,,
16,11.0,,,,,
17,,,,,,7.0
18,,,,,,15.0
19,,,,,12.0,
20,9.0,,,,,
21,,,,,,15.0
22,,14.0,,,,
23,,,,,,9.0
24,,,,,,11.0
25,,,,,,11.0
26,21.0,,,,,
27,11.0,,,,,
28,,,,,14.0,
29,15.0,,,,,
30,,,,,22.0,
31,,,,,,11.0
32,,,,,,9.0
33,,,,,,9.0
34,,,,,,9.0
35,,,,,,7.0
36,,,,,10.0,
37,,12.0,,,,
38,13.0,,,,,
39,15.0,,,,,
40,,,,,,11.0
41,,,,,,9.0
42,15.0,,,,,
43,,,,,,7.0
44,11.0,,,,,
45,,,,,8.0,
46,11.0,,,,,
47,9.0,,,,,
48,11.0,,,,,
49,,,,,12.0,
