,FLAT_started_FLAT_won,UCT_4000_started_FLAT_won,FLAT_started_Tie,UCT_4000_started_Tie,FLAT_started_UCT_4000_won,UCT_4000_started_UCT_4000_won
0,7.0,,,,,
1,,,,,,17.0
2,,12.0,,,,
3,,10.0,,,,
4,,,,,,7.0
5,,,,,,17.0
6,,8.0,,,,
7,7.0,,,,,
8,,,,,,11.0
9,,,,,,7.0
10,,,,,,9.0
11,9.0,,,,,
12,9.0,,,,,
13,,,,,,9.0
14,11.0,,,,,
15,,,,,,9.0
16,,,,,,17.0
17,,,,,,17.0
18,11.0,,,,,
19,,,,,,11.0
20,,14.0,,,,
21,7.0,,,,,
22,7.0,,,,,
23,,,,,18.0,
24,,,,,,15.0
25,,12.0,,,,
26,11.0,,,,,
27,11.0,,,,,
28,,8.0,,,,
29,,14.0,,,,
30,,10.0,,,,
31,,,,,,9.0
32,,,,,,9.0
33,,,,,,17.0
34,,,,,,17.0
35,,8.0,,,,
36,7.0,,,,,
37,,10.0,,,,
38,11.0,,,,,
39,,8.0,,,,
40,11.0,,,,,
41,7.0,,,,,
42,7.0,,,,,
43,,,,,,11.0
44,,14.0,,,,
45,,14.0,,,,
46,7.0,,,,,
47,7.0,,,,,
48,11.0,,,,,
49,,,,,,13.0
