,ZERO_v3_started_ZERO_v3_won,ZEROX_v3_started_ZERO_v3_won,ZERO_v3_started_Tie,ZEROX_v3_started_Tie,ZERO_v3_started_ZEROX_v3_won,ZEROX_v3_started_ZEROX_v3_won
0,,,,,14.0,
1,,,,,,7.0
2,,,,,,9.0
3,,,,,,9.0
4,19.0,,,,,
5,9.0,,,,,
6,13.0,,,,,
7,9.0,,,,,
8,,,,,,23.0
9,9.0,,,,,
10,,,,,12.0,
11,,,,,,11.0
12,11.0,,,,,
13,7.0,,,,,
14,9.0,,,,,
15,13.0,,,,,
16,,,,,18.0,
17,,,,,,9.0
18,9.0,,,,,
19,9.0,,,,,
20,,,,,14.0,
21,,,,,,9.0
22,9.0,,,,,
23,13.0,,,,,
24,,,,,12.0,
25,,,,,,15.0
26,,,,,,11.0
27,9.0,,,,,
28,7.0,,,,,
29,,,,,,9.0
30,,,,,14.0,
31,15.0,,,,,
32,,,,,,9.0
33,9.0,,,,,
34,,,,,,7.0
35,,,,,,7.0
36,11.0,,,,,
37,13.0,,,,,
38,,,,,,9.0
39,,,,,,11.0
40,,,,,,23.0
41,7.0,,,,,
42,11.0,,,,,
43,11.0,,,,,
44,9.0,,,,,
45,9.0,,,,,
46,9.0,,,,,
47,,,,,,13.0
48,11.0,,,,,
49,,14.0,,,,
