,ZERO_v2_started_ZERO_v2_won,ZERO_v3_started_ZERO_v2_won,ZERO_v2_started_Tie,ZERO_v3_started_Tie,ZERO_v2_started_ZERO_v3_won,ZERO_v3_started_ZERO_v3_won
0,,,,,,9.0
1,,16.0,,,,
2,,,,,10.0,
3,,,,,,11.0
4,13.0,,,,,
5,,,,36.0,,
6,,12.0,,,,
7,,,,,8.0,
8,,,,,,9.0
9,11.0,,,,,
10,,,,,,11.0
11,,,,,,9.0
12,,12.0,,,,
13,,,,,,9.0
14,13.0,,,,,
15,,,,,,9.0
16,,,,,,11.0
17,,,,36.0,,
18,21.0,,,,,
19,,,,,,17.0
20,13.0,,,,,
21,23.0,,,,,
22,,12.0,,,,
23,,,36.0,,,
24,,,,,10.0,
25,,,,,,13.0
26,11.0,,,,,
27,,,,,,9.0
28,,16.0,,,,
29,13.0,,,,,
30,9.0,,,,,
31,,,,,,9.0
32,9.0,,,,,
33,,,,,,13.0
34,,,,,,19.0
35,,,,,,9.0
36,,28.0,,,,
37,15.0,,,,,
38,13.0,,,,,
39,11.0,,,,,
40,,,,,,13.0
41,,,,,,9.0
42,,,,,,9.0
43,,30.0,,,,
44,9.0,,,,,
45,,,,,,15.0
46,,,,,,11.0
47,,12.0,,,,
48,9.0,,,,,
49,9.0,,,,,
