,ZEROX_v1_started_ZEROX_v1_won,FLAT_v1_started_ZEROX_v1_won,ZEROX_v1_started_Tie,FLAT_v1_started_Tie,ZEROX_v1_started_FLAT_v1_won,FLAT_v1_started_FLAT_v1_won
0,21.0,,,,,
1,17.0,,,,,
2,11.0,,,,,
3,13.0,,,,,
4,19.0,,,,,
5,15.0,,,,,
6,,20.0,,,,
7,,30.0,,,,
8,15.0,,,,,
9,11.0,,,,,
10,15.0,,,,,
11,13.0,,,,,
12,15.0,,,,,
13,,14.0,,,,
14,,10.0,,,,
15,17.0,,,,,
16,,32.0,,,,
17,21.0,,,,,
18,13.0,,,,,
19,,16.0,,,,
20,,,,,,13.0
21,,12.0,,,,
22,,,,,,11.0
23,,18.0,,,,
24,,,,,,7.0
25,,14.0,,,,
26,,10.0,,,,
27,,10.0,,,,
28,11.0,,,,,
29,7.0,,,,,
30,13.0,,,,,
31,11.0,,,,,
32,11.0,,,,,
33,9.0,,,,,
34,13.0,,,,,
35,13.0,,,,,
36,11.0,,,,,
37,11.0,,,,,
38,,14.0,,,,
39,13.0,,,,,
40,15.0,,,,,
41,,12.0,,,,
42,,16.0,,,,
43,11.0,,,,,
44,,12.0,,,,
45,,8.0,,,,
46,11.0,,,,,
47,,12.0,,,,
48,,10.0,,,,
49,,,,,,13.0
