,FLAT_v2_started_FLAT_v2_won,FLAT_v3_started_FLAT_v2_won,FLAT_v2_started_Tie,FLAT_v3_started_Tie,FLAT_v2_started_FLAT_v3_won,FLAT_v3_started_FLAT_v3_won
0,,12.0,,,,
1,,,,,,11.0
2,,,,,22.0,
3,,,,,,11.0
4,,,,,,11.0
5,,,,,,17.0
6,25.0,,,,,
7,,,,,,9.0
8,,,,,,11.0
9,7.0,,,,,
10,,,,,,9.0
11,9.0,,,,,
12,,,,,,27.0
13,,,,,8.0,
14,,,,,10.0,
15,9.0,,,,,
16,,,,,,7.0
17,,,,,,11.0
18,13.0,,,,,
19,,,,,,13.0
20,,,,,8.0,
21,,,,,,9.0
22,,,,,8.0,
23,,16.0,,,,
24,,,,,14.0,
25,,18.0,,,,
26,13.0,,,,,
27,,,,,,11.0
28,7.0,,,,,
29,,,,,12.0,
30,,,,,8.0,
31,9.0,,,,,
32,11.0,,,,,
33,,,,,10.0,
34,13.0,,,,,
35,13.0,,,,,
36,,,,,,15.0
37,,,,,,11.0
38,,,,,,9.0
39,,,,,,9.0
40,,,,,,7.0
41,11.0,,,,,
42,17.0,,,,,
43,,,,,,21.0
44,7.0,,,,,
45,,,,,8.0,
46,,,,,,9.0
47,15.0,,,,,
48,17.0,,,,,
49,,,,,,13.0
