,ZERO_v3_started_ZERO_v3_won,ZERO_v3_started_Tie
0,,
1,9.0,
2,27.0,
3,9.0,
4,9.0,
5,,
6,27.0,
7,11.0,
8,,
9,,
10,,
11,,
12,,
13,,
14,9.0,
15,,
16,9.0,
17,,
18,13.0,
19,15.0,
20,13.0,
21,,
22,13.0,
23,9.0,
24,13.0,
25,,
26,13.0,
27,,
28,,
29,19.0,
30,,
31,,
32,9.0,
33,17.0,
34,,
35,9.0,
36,9.0,
37,9.0,
38,13.0,
39,,
40,9.0,
41,11.0,
42,,
43,,
44,,
45,7.0,
46,9.0,
47,13.0,
48,7.0,
49,9.0,
