,ZEROX_v2_started_ZEROX_v2_won,ZEROX_v3_started_ZEROX_v2_won,ZEROX_v2_started_Tie,ZEROX_v3_started_Tie,ZEROX_v2_started_ZEROX_v3_won,ZEROX_v3_started_ZEROX_v3_won
0,,,,,,9.0
1,,,,,,19.0
2,15.0,,,,,
3,,,,,,7.0
4,15.0,,,,,
5,,,,36.0,,
6,,,,,8.0,
7,,,,,,11.0
8,,,,,14.0,
9,7.0,,,,,
10,11.0,,,,,
11,9.0,,,,,
12,,,,,8.0,
13,,,,,,25.0
14,11.0,,,,,
15,13.0,,,,,
16,11.0,,,,,
17,,,,,12.0,
18,,,,,,15.0
19,,,,,,9.0
20,,,,,,17.0
21,,,36.0,,,
22,,,,36.0,,
23,9.0,,,,,
24,9.0,,,,,
25,,,,,,13.0
26,11.0,,,,,
27,,18.0,,,,
28,,,,,,9.0
29,,,,,,7.0
30,7.0,,,,,
31,13.0,,,,,
32,,,,,12.0,
33,13.0,,,,,
34,,,,,,9.0
35,9.0,,,,,
36,,,,,12.0,
37,,12.0,,,,
38,15.0,,,,,
39,9.0,,,,,
40,,,,,,11.0
41,,,,,,9.0
42,,,,,,13.0
43,19.0,,,,,
44,7.0,,,,,
45,,,,,14.0,
46,,,,,,19.0
47,,,,,8.0,
48,17.0,,,,,
49,,,,,,7.0
