,FLAT_started_FLAT_won,UCT_1000_started_FLAT_won,FLAT_started_Tie,UCT_1000_started_Tie,FLAT_started_UCT_1000_won,UCT_1000_started_UCT_1000_won
0,,8.0,,,,
1,9.0,,,,,
2,7.0,,,,,
3,7.0,,,,,
4,,8.0,,,,
5,,8.0,,,,
6,7.0,,,,,
7,,,,,,13.0
8,,,,,,15.0
9,,,,,,15.0
10,11.0,,,,,
11,7.0,,,,,
12,7.0,,,,,
13,7.0,,,,,
14,7.0,,,,,
15,,,,,,11.0
16,,,,,,13.0
17,7.0,,,,,
18,,8.0,,,,
19,,,,,,17.0
20,7.0,,,,,
21,,10.0,,,,
22,7.0,,,,,
23,,8.0,,,,
24,,8.0,,,,
25,,8.0,,,,
26,,8.0,,,,
27,,8.0,,,,
28,7.0,,,,,
29,,8.0,,,,
30,,8.0,,,,
31,9.0,,,,,
32,7.0,,,,,
33,,,,,,15.0
34,,10.0,,,,
35,,12.0,,,,
36,,,,,,9.0
37,11.0,,,,,
38,9.0,,,,,
39,,12.0,,,,
40,9.0,,,,,
41,,8.0,,,,
42,,,,,,11.0
43,7.0,,,,,
44,7.0,,,,,
45,,8.0,,,,
46,7.0,,,,,
47,7.0,,,,,
48,7.0,,,,,
49,7.0,,,,,
