,ZEROX_v1_started_ZEROX_v1_won,ZERO_v1_started_ZEROX_v1_won,ZEROX_v1_started_Tie,ZERO_v1_started_Tie,ZEROX_v1_started_ZERO_v1_won,ZERO_v1_started_ZERO_v1_won
0,,,,,,11.0
1,,,,,,7.0
2,21.0,,,,,
3,,,,,,9.0
4,13.0,,,,,
5,,,,,,13.0
6,,,,,14.0,
7,,,,,,13.0
8,19.0,,,,,
9,,,,,,15.0
10,,12.0,,,,
11,,,,,,11.0
12,21.0,,,,,
13,,,,,14.0,
14,11.0,,,,,
15,,24.0,,,,
16,9.0,,,,,
17,11.0,,,,,
18,,,,,,19.0
19,,12.0,,,,
20,,,,,,13.0
21,13.0,,,,,
22,,,36.0,,,
23,9.0,,,,,
24,,,,,8.0,
25,35.0,,,,,
26,,,,,,11.0
27,,,36.0,,,
28,11.0,,,,,
29,,,,36.0,,
30,,,,,16.0,
31,9.0,,,,,
32,17.0,,,,,
33,,12.0,,,,
34,,,,,12.0,
35,,16.0,,,,
36,,10.0,,,,
37,27.0,,,,,
38,13.0,,,,,
39,,,36.0,,,
40,,8.0,,,,
41,9.0,,,,,
42,,32.0,,,,
43,,,,,,13.0
44,,,,,12.0,
45,,,,,,13.0
46,,32.0,,,,
47,11.0,,,,,
48,,12.0,,,,
49,,,36.0,,,
