,ZERO_v1_started_ZERO_v1_won,ZEROX_v1_started_ZERO_v1_won,ZERO_v1_started_Tie,ZEROX_v1_started_Tie,ZERO_v1_started_ZEROX_v1_won,ZEROX_v1_started_ZEROX_v1_won
0,,18.0,,,,
1,7.0,,,,,
2,,,,,12.0,
3,,,,,,35.0
4,,,,,12.0,
5,,,,,,9.0
6,,,,,,13.0
7,21.0,,,,,
8,,,,,,15.0
9,,,,,12.0,
10,,,,,,15.0
11,15.0,,,,,
12,,,,,,19.0
13,,10.0,,,,
14,11.0,,,,,
15,,,,,12.0,
16,,,,,,15.0
17,,,,,,13.0
18,,,,,,9.0
19,,,,,14.0,
20,,,,36.0,,
21,,,,,,13.0
22,,,,,,17.0
23,,,,,,15.0
24,11.0,,,,,
25,,,,,,13.0
26,,,,,16.0,
27,,,,,,17.0
28,,,,,,11.0
29,21.0,,,,,
30,,,,,,7.0
31,,,,,,11.0
32,19.0,,,,,
33,,,,,16.0,
34,9.0,,,,,
35,9.0,,,,,
36,,,36.0,,,
37,13.0,,,,,
38,,,,,,15.0
39,,,,,,11.0
40,,,,,14.0,
41,7.0,,,,,
42,,,,,,13.0
43,11.0,,,,,
44,13.0,,,,,
45,,,,,,9.0
46,,,,,14.0,
47,,,,,,13.0
48,,,,,,15.0
49,,12.0,,,,
