,FLAT_v1_started_FLAT_v1_won,ZEROX_v1_started_FLAT_v1_won,FLAT_v1_started_Tie,ZEROX_v1_started_Tie,FLAT_v1_started_ZEROX_v1_won,ZEROX_v1_started_ZEROX_v1_won
0,,,,,,9.0
1,,,,,,9.0
2,,,,,,11.0
3,,,,,,9.0
4,,,,,,9.0
5,,,,,,13.0
6,,,,,,11.0
7,,,,,,13.0
8,,,,,10.0,
9,,,,,12.0,
10,,,,,,7.0
11,,,,,14.0,
12,,,,,14.0,
13,,,,,16.0,
14,,,,,,11.0
15,,,,,14.0,
16,,,,,,19.0
17,,,36.0,,,
18,,,,,14.0,
19,,,,,,13.0
20,,,,,10.0,
21,,,,,,15.0
22,,,,,10.0,
23,,,,,,15.0
24,,,,,,7.0
25,,,,,,9.0
26,,,,,,13.0
27,,,,,,7.0
28,,,,,,11.0
29,,,,,12.0,
30,,,,,,21.0
31,,,,,,35.0
32,,,,,16.0,
33,11.0,,,,,
34,,,,,10.0,
35,,,,,16.0,
36,,,,,10.0,
37,,,36.0,,,
38,,,,,8.0,
39,,,,,,11.0
40,,,,,,7.0
41,,,,,,9.0
42,,,,,14.0,
43,,12.0,,,,
44,,,,,,9.0
45,,,,,12.0,
46,,,,,8.0,
47,,,,,12.0,
48,,,,,,23.0
49,,,,,,13.0
