,ZERO_started_ZERO_won,UCT_4000_started_ZERO_won,ZERO_started_Tie,UCT_4000_started_Tie,ZERO_started_UCT_4000_won,UCT_4000_started_UCT_4000_won
0,,,,,,15.0
1,,,,,14.0,
2,,,,,,7.0
3,,,,,10.0,
4,15.0,,,,,
5,,,,,,7.0
6,,,,,,17.0
7,11.0,,,,,
8,,12.0,,,,
9,,,,,,7.0
10,,,,,,7.0
11,,,,,,7.0
12,11.0,,,,,
13,,,,,,7.0
14,,,,,,7.0
15,9.0,,,,,
16,,8.0,,,,
17,11.0,,,,,
18,,12.0,,,,
19,,16.0,,,,
20,,,,,,7.0
21,7.0,,,,,
22,,,,,,7.0
23,7.0,,,,,
24,,,,,,7.0
25,,,,,,7.0
26,,,,,,7.0
27,7.0,,,,,
28,11.0,,,,,
29,11.0,,,,,
30,,,,,,7.0
31,,,,,,13.0
32,,,,,10.0,
33,9.0,,,,,
34,7.0,,,,,
35,11.0,,,,,
36,7.0,,,,,
37,15.0,,,,,
38,,,,,14.0,
39,,10.0,,,,
40,15.0,,,,,
41,,,,,,7.0
42,,,,,,7.0
43,,8.0,,,,
44,,,,,14.0,
45,,,,,,7.0
46,,,,,,17.0
47,,,,,14.0,
48,,,,,,11.0
49,,,,,,11.0
