,ZERO_v2_started_ZERO_v2_won,ZEROX_v2_started_ZERO_v2_won,ZERO_v2_started_Tie,ZEROX_v2_started_Tie,ZERO_v2_started_ZEROX_v2_won,ZEROX_v2_started_ZEROX_v2_won
0,,,,,,11.0
1,11.0,,,,,
2,,,36.0,,,
3,9.0,,,,,
4,,,,,,13.0
5,13.0,,,,,
6,21.0,,,,,
7,,,,,,17.0
8,,,,,,11.0
9,15.0,,,,,
10,19.0,,,,,
11,7.0,,,,,
12,,,,,,9.0
13,,10.0,,,,
14,,,,,18.0,
15,,10.0,,,,
16,11.0,,,,,
17,,,,,,7.0
18,11.0,,,,,
19,,,,,,7.0
20,13.0,,,,,
21,9.0,,,,,
22,,,,,,13.0
23,17.0,,,,,
24,13.0,,,,,
25,13.0,,,,,
26,9.0,,,,,
27,9.0,,,,,
28,,,,,14.0,
29,11.0,,,,,
30,,,,,,11.0
31,,,,,,11.0
32,7.0,,,,,
33,19.0,,,,,
34,,,,,,9.0
35,,,,,,9.0
36,17.0,,,,,
37,13.0,,,,,
38,13.0,,,,,
39,,,,,,9.0
40,,,,,,9.0
41,,16.0,,,,
42,,,,,,11.0
43,7.0,,,,,
44,11.0,,,,,
45,17.0,,,,,
46,13.0,,,,,
47,,,,,,17.0
48,,,,,,17.0
49,,,,,10.0,
