,FLAT_v3_started_FLAT_v3_won,UCT_3000_started_FLAT_v3_won,FLAT_v3_started_Tie,UCT_3000_started_Tie,FLAT_v3_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,11.0,,,,,
1,,,,,,13.0
2,7.0,,,,,
3,,,,,14.0,
4,,8.0,,,,
5,7.0,,,,,
6,,8.0,,,,
7,7.0,,,,,
8,,,,,,9.0
9,,8.0,,,,
10,,,,,,11.0
11,7.0,,,,,
12,7.0,,,,,
13,,14.0,,,,
14,13.0,,,,,
15,7.0,,,,,
16,,,,,,13.0
17,15.0,,,,,
18,,,,,,13.0
19,,8.0,,,,
20,,,,,,11.0
21,7.0,,,,,
22,7.0,,,,,
23,7.0,,,,,
24,,8.0,,,,
25,11.0,,,,,
26,,10.0,,,,
27,11.0,,,,,
28,,8.0,,,,
29,,,,,,9.0
30,7.0,,,,,
31,,14.0,,,,
32,9.0,,,,,
33,,,,,,13.0
34,,10.0,,,,
35,7.0,,,,,
36,7.0,,,,,
37,7.0,,,,,
38,7.0,,,,,
39,,,,,,7.0
40,7.0,,,,,
41,,,,,,13.0
42,,14.0,,,,
43,,,,,,17.0
44,,,,,,11.0
45,,,,,,9.0
46,7.0,,,,,
47,,,,,,11.0
48,11.0,,,,,
49,,,,,,15.0
