,ZEROX_v2_started_ZEROX_v2_won,UCT_1000_started_ZEROX_v2_won,ZEROX_v2_started_Tie,UCT_1000_started_Tie,ZEROX_v2_started_UCT_1000_won,UCT_1000_started_UCT_1000_won
0,,8.0,,,,
1,7.0,,,,,
2,11.0,,,,,
3,7.0,,,,,
4,9.0,,,,,
5,7.0,,,,,
6,9.0,,,,,
7,,14.0,,,,
8,7.0,,,,,
9,,,,,,11.0
10,7.0,,,,,
11,,12.0,,,,
12,9.0,,,,,
13,7.0,,,,,
14,7.0,,,,,
15,7.0,,,,,
16,,8.0,,,,
17,7.0,,,,,
18,,,,,,11.0
19,,8.0,,,,
20,7.0,,,,,
21,,,,,,11.0
22,,14.0,,,,
23,,8.0,,,,
24,,8.0,,,,
25,7.0,,,,,
26,7.0,,,,,
27,,14.0,,,,
28,,12.0,,,,
29,,12.0,,,,
30,,8.0,,,,
31,9.0,,,,,
32,,8.0,,,,
33,,8.0,,,,
34,,8.0,,,,
35,,14.0,,,,
36,7.0,,,,,
37,,14.0,,,,
38,,8.0,,,,
39,7.0,,,,,
40,,,,,,11.0
41,,10.0,,,,
42,,8.0,,,,
43,7.0,,,,,
44,,,,,,13.0
45,,,,,,9.0
46,,,,,,15.0
47,9.0,,,,,
48,,14.0,,,,
49,,8.0,,,,
