,ZERO_started_ZERO_won,UCT_1000_started_ZERO_won,ZERO_started_Tie,UCT_1000_started_Tie,ZERO_started_UCT_1000_won,UCT_1000_started_UCT_1000_won
0,,8.0,,,,
1,,8.0,,,,
2,7.0,,,,,
3,7.0,,,,,
4,,10.0,,,,
5,7.0,,,,,
6,,,,,,11.0
7,9.0,,,,,
8,7.0,,,,,
9,7.0,,,,,
10,11.0,,,,,
11,,10.0,,,,
12,9.0,,,,,
13,7.0,,,,,
14,,8.0,,,,
15,7.0,,,,,
16,7.0,,,,,
17,7.0,,,,,
18,7.0,,,,,
19,,10.0,,,,
20,7.0,,,,,
21,,,36.0,,,
22,7.0,,,,,
23,,8.0,,,,
24,,,,,,19.0
25,7.0,,,,,
26,7.0,,,,,
27,,,,,,7.0
28,,8.0,,,,
29,7.0,,,,,
30,,8.0,,,,
31,,12.0,,,,
32,,8.0,,,,
33,7.0,,,,,
34,,10.0,,,,
35,,8.0,,,,
36,,,,,,13.0
37,7.0,,,,,
38,,12.0,,,,
39,7.0,,,,,
40,7.0,,,,,
41,,8.0,,,,
42,,12.0,,,,
43,,8.0,,,,
44,9.0,,,,,
45,,,,,,13.0
46,7.0,,,,,
47,,10.0,,,,
48,7.0,,,,,
49,7.0,,,,,
