,ZEROX_v3_started_ZEROX_v3_won,ZEROX_v3_started_Tie
0,,
1,9.0,
2,17.0,
3,9.0,
4,,
5,,
6,11.0,
7,11.0,
8,,
9,,
10,,
11,9.0,
12,9.0,
13,9.0,
14,9.0,
15,17.0,
16,,
17,,
18,,
19,,
20,,
21,13.0,
22,9.0,
23,,
24,,
25,9.0,
26,,
27,,
28,,
29,,
30,,
31,11.0,
32,19.0,
33,,
34,,
35,,
36,,
37,9.0,
38,11.0,
39,,
40,9.0,
41,,
42,9.0,
43,,
44,7.0,
45,13.0,
46,9.0,
47,17.0,
48,19.0,
49,,
