,FLAT_v2_started_FLAT_v2_won,ZERO_v2_started_FLAT_v2_won,FLAT_v2_started_Tie,ZERO_v2_started_Tie,FLAT_v2_started_ZERO_v2_won,ZERO_v2_started_ZERO_v2_won
0,,,,,10.0,
1,,,,,,7.0
2,9.0,,,,,
3,11.0,,,,,
4,,,,,,11.0
5,9.0,,,,,
6,17.0,,,,,
7,,,,,,11.0
8,,,,,8.0,
9,,,,,,7.0
10,,,,,,7.0
11,,,,,,11.0
12,,,,,,11.0
13,,,,,,9.0
14,,,,,14.0,
15,,,,,10.0,
16,,,,,,13.0
17,11.0,,,,,
18,11.0,,,,,
19,,,,,,11.0
20,,,,,,9.0
21,,,,,,13.0
22,,,,,,21.0
23,11.0,,,,,
24,,,,,,9.0
25,17.0,,,,,
26,,,,,8.0,
27,,,,,10.0,
28,,,,,,9.0
29,,,,,8.0,
30,9.0,,,,,
31,,,,,,13.0
32,,,,,,11.0
33,,,,,,13.0
34,,,,,,13.0
35,,,,,,23.0
36,,,,,,11.0
37,11.0,,,,,
38,,,,,,13.0
39,,,,,,7.0
40,,,,,10.0,
41,,,,,14.0,
42,13.0,,,,,
43,,,,,,9.0
44,,,,,14.0,
45,9.0,,,,,
46,,,,,,17.0
47,11.0,,,,,
48,,,,,,11.0
49,,,,,,27.0
