,FLAT_v1_started_FLAT_v1_won,FLAT_v3_started_FLAT_v1_won,FLAT_v1_started_Tie,FLAT_v3_started_Tie,FLAT_v1_started_FLAT_v3_won,FLAT_v3_started_FLAT_v3_won
0,,,,,12.0,
1,13.0,,,,,
2,,,,,,7.0
3,,8.0,,,,
4,13.0,,,,,
5,9.0,,,,,
6,,,,,,9.0
7,,,,,16.0,
8,,,,,,7.0
9,,,,,,9.0
10,15.0,,,,,
11,23.0,,,,,
12,,,,,14.0,
13,,,,,10.0,
14,,,,,,11.0
15,17.0,,,,,
16,,,,,,9.0
17,,,,,,7.0
18,,,,,22.0,
19,,,,,,9.0
20,,,,,,9.0
21,,,,,14.0,
22,,8.0,,,,
23,,,,,,15.0
24,13.0,,,,,
25,,,,,,11.0
26,,,,,,9.0
27,9.0,,,,,
28,,,,,10.0,
29,,,,,,9.0
30,,,,,,15.0
31,11.0,,,,,
32,,,,,,15.0
33,,8.0,,,,
34,,,,,32.0,
35,,,,,20.0,
36,,,,,,9.0
37,,,,,14.0,
38,,,,,,13.0
39,,,,,10.0,
40,,,,,12.0,
41,,,,,,13.0
42,,,,,,9.0
43,,,36.0,,,
44,13.0,,,,,
45,9.0,,,,,
46,,,,,,11.0
47,11.0,,,,,
48,,,,,,9.0
49,15.0,,,,,
