,ZEROX_v1_started_ZEROX_v1_won,UCT_1000_started_ZEROX_v1_won,ZEROX_v1_started_Tie,UCT_1000_started_Tie,ZEROX_v1_started_UCT_1000_won,UCT_1000_started_UCT_1000_won
0,7.0,,,,,
1,,8.0,,,,
2,,,,,,11.0
3,,16.0,,,,
4,7.0,,,,,
5,,8.0,,,,
6,,8.0,,,,
7,,,,,14.0,
8,7.0,,,,,
9,9.0,,,,,
10,7.0,,,,,
11,,,,,,7.0
12,,12.0,,,,
13,9.0,,,,,
14,15.0,,,,,
15,,10.0,,,,
16,,8.0,,,,
17,7.0,,,,,
18,,,,,,7.0
19,,14.0,,,,
20,,,,,,7.0
21,7.0,,,,,
22,,10.0,,,,
23,,,,,,7.0
24,,,,,,7.0
25,7.0,,,,,
26,9.0,,,,,
27,,8.0,,,,
28,15.0,,,,,
29,,8.0,,,,
30,7.0,,,,,
31,7.0,,,,,
32,7.0,,,,,
33,7.0,,,,,
34,,,,,,7.0
35,,8.0,,,,
36,,,,,,7.0
37,,10.0,,,,
38,11.0,,,,,
39,9.0,,,,,
40,,8.0,,,,
41,,,,,,7.0
42,,12.0,,,,
43,,,,,,7.0
44,,,,,,11.0
45,,8.0,,,,
46,,,,,,13.0
47,7.0,,,,,
48,7.0,,,,,
49,,12.0,,,,
