,FLAT_v3_started_FLAT_v3_won,ZEROX_v3_started_FLAT_v3_won,FLAT_v3_started_Tie,ZEROX_v3_started_Tie,FLAT_v3_started_ZEROX_v3_won,ZEROX_v3_started_ZEROX_v3_won
0,,,,,,9.0
1,,,,,,13.0
2,,,,,,19.0
3,,,,,,15.0
4,,,,,,13.0
5,,,,,12.0,
6,,,,,,17.0
7,11.0,,,,,
8,,,,,28.0,
9,15.0,,,,,
10,,,,,,7.0
11,,,,,10.0,
12,13.0,,,,,
13,,,,,,9.0
14,,,,,,9.0
15,,,,,10.0,
16,,,,,,27.0
17,,,,,,15.0
18,,,,,,23.0
19,,,,,,13.0
20,,,,,,9.0
21,,,,,,15.0
22,,,,,14.0,
23,,,,,,9.0
24,,,,,,13.0
25,,,,,,15.0
26,,,,,,15.0
27,,,,,10.0,
28,,,,,,13.0
29,,,,,12.0,
30,9.0,,,,,
31,,,,,8.0,
32,,,,,8.0,
33,9.0,,,,,
34,,,,,,9.0
35,,,,,12.0,
36,,,,,,11.0
37,,,,,,13.0
38,,,,,10.0,
39,,,,,10.0,
40,9.0,,,,,
41,,,,,8.0,
42,,,,,,31.0
43,,,,,12.0,
44,,,,,,15.0
45,,,,,10.0,
46,,,,,18.0,
47,,,,,,9.0
48,,,,,,9.0
49,,,,,,11.0
