,FLAT_started_FLAT_won,UCT_3000_started_FLAT_won,FLAT_started_Tie,UCT_3000_started_Tie,FLAT_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,,,,,,9.0
1,7.0,,,,,
2,7.0,,,,,
3,9.0,,,,,
4,9.0,,,,,
5,,,,,,13.0
6,,8.0,,,,
7,11.0,,,,,
8,,10.0,,,,
9,,8.0,,,,
10,7.0,,,,,
11,,10.0,,,,
12,,,,,,13.0
13,11.0,,,,,
14,,10.0,,,,
15,7.0,,,,,
16,,,,,,11.0
17,7.0,,,,,
18,7.0,,,,,
19,,10.0,,,,
20,7.0,,,,,
21,7.0,,,,,
22,,10.0,,,,
23,11.0,,,,,
24,9.0,,,,,
25,,,,,,17.0
26,,,,,,13.0
27,7.0,,,,,
28,7.0,,,,,
29,11.0,,,,,
30,11.0,,,,,
31,,8.0,,,,
32,9.0,,,,,
33,,,,,,15.0
34,11.0,,,,,
35,,,,,,13.0
36,,,,,16.0,
37,,,,,,15.0
38,9.0,,,,,
39,7.0,,,,,
40,11.0,,,,,
41,7.0,,,,,
42,,8.0,,,,
43,,8.0,,,,
44,7.0,,,,,
45,7.0,,,,,
46,,14.0,,,,
47,,10.0,,,,
48,9.0,,,,,
49,11.0,,,,,
