,ZEROX_v3_started_ZEROX_v3_won,FLAT_v3_started_ZEROX_v3_won,ZEROX_v3_started_Tie,FLAT_v3_started_Tie,ZEROX_v3_started_FLAT_v3_won,FLAT_v3_started_FLAT_v3_won
0,,12.0,,,,
1,,,,,,9.0
2,9.0,,,,,
3,11.0,,,,,
4,13.0,,,,,
5,,10.0,,,,
6,29.0,,,,,
7,9.0,,,,,
8,9.0,,,,,
9,,,,,,13.0
10,,10.0,,,,
11,11.0,,,,,
12,,12.0,,,,
13,,10.0,,,,
14,9.0,,,,,
15,13.0,,,,,
16,9.0,,,,,
17,9.0,,,,,
18,13.0,,,,,
19,9.0,,,,,
20,,12.0,,,,
21,9.0,,,,,
22,,,,,,15.0
23,11.0,,,,,
24,,10.0,,,,
25,,10.0,,,,
26,,,,,,9.0
27,,,,,,11.0
28,,18.0,,,,
29,17.0,,,,,
30,,,,,,7.0
31,,,,,,7.0
32,17.0,,,,,
33,,10.0,,,,
34,,12.0,,,,
35,7.0,,,,,
36,,10.0,,,,
37,27.0,,,,,
38,,20.0,,,,
39,,8.0,,,,
40,,,,,,7.0
41,13.0,,,,,
42,,14.0,,,,
43,,,,,,13.0
44,7.0,,,,,
45,,10.0,,,,
46,,12.0,,,,
47,,,,,,13.0
48,15.0,,,,,
49,,,,,,9.0
