,ZEROX_v2_started_ZEROX_v2_won,UCT_3000_started_ZEROX_v2_won,ZEROX_v2_started_Tie,UCT_3000_started_Tie,ZEROX_v2_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,7.0,,,,,
1,11.0,,,,,
2,7.0,,,,,
3,,8.0,,,,
4,,8.0,,,,
5,,,,,,11.0
6,,,,,,9.0
7,9.0,,,,,
8,,14.0,,,,
9,,,,,,17.0
10,,8.0,,,,
11,7.0,,,,,
12,,10.0,,,,
13,7.0,,,,,
14,7.0,,,,,
15,19.0,,,,,
16,,,,,,11.0
17,19.0,,,,,
18,7.0,,,,,
19,,,,,,11.0
20,9.0,,,,,
21,11.0,,,,,
22,7.0,,,,,
23,7.0,,,,,
24,,,,,,29.0
25,7.0,,,,,
26,7.0,,,,,
27,,14.0,,,,
28,11.0,,,,,
29,11.0,,,,,
30,9.0,,,,,
31,,,,,,9.0
32,19.0,,,,,
33,,14.0,,,,
34,7.0,,,,,
35,,,,,,21.0
36,7.0,,,,,
37,7.0,,,,,
38,7.0,,,,,
39,7.0,,,,,
40,,,,,,17.0
41,7.0,,,,,
42,7.0,,,,,
43,,14.0,,,,
44,,,,,,11.0
45,,12.0,,,,
46,,10.0,,,,
47,9.0,,,,,
48,,8.0,,,,
49,,8.0,,,,
