,ZEROX_v1_started_ZEROX_v1_won,UCT_3000_started_ZEROX_v1_won,ZEROX_v1_started_Tie,UCT_3000_started_Tie,ZEROX_v1_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,11.0,,,,,
1,13.0,,,,,
2,,12.0,,,,
3,,8.0,,,,
4,13.0,,,,,
5,,,,,,7.0
6,,,,,,7.0
7,,14.0,,,,
8,11.0,,,,,
9,,,,,14.0,
10,,,,,,7.0
11,,,,,,7.0
12,15.0,,,,,
13,7.0,,,,,
14,11.0,,,,,
15,,,,,,13.0
16,,,,,,7.0
17,,,,,,7.0
18,,14.0,,,,
19,,,,,14.0,
20,,,,,,13.0
21,,12.0,,,,
22,,8.0,,,,
23,,,,,,7.0
24,7.0,,,,,
25,,8.0,,,,
26,,14.0,,,,
27,7.0,,,,,
28,,8.0,,,,
29,,,,,,7.0
30,,12.0,,,,
31,,,,,,7.0
32,7.0,,,,,
33,,10.0,,,,
34,,,,,,11.0
35,11.0,,,,,
36,,,,,14.0,
37,,,,,14.0,
38,,,,,,9.0
39,,,,,,7.0
40,,8.0,,,,
41,,,,,,7.0
42,,,,,,7.0
43,,,,,,7.0
44,,,,,,7.0
45,15.0,,,,,
46,,,,,,11.0
47,11.0,,,,,
48,,8.0,,,,
49,,8.0,,,,
