,FLAT_v2_started_FLAT_v2_won,UCT_4000_started_FLAT_v2_won,FLAT_v2_started_Tie,UCT_4000_started_Tie,FLAT_v2_started_UCT_4000_won,UCT_4000_started_UCT_4000_won
0,,,,,,13.0
1,7.0,,,,,
2,,,,,,11.0
3,,,,,,21.0
4,,,,,,9.0
5,,10.0,,,,
6,7.0,,,,,
7,11.0,,,,,
8,7.0,,,,,
9,7.0,,,,,
10,7.0,,,,,
11,,14.0,,,,
12,,,,,,9.0
13,,8.0,,,,
14,11.0,,,,,
15,7.0,,,,,
16,,,,,,17.0
17,11.0,,,,,
18,7.0,,,,,
19,,,,,14.0,
20,,,,,,17.0
21,,14.0,,,,
22,7.0,,,,,
23,,8.0,,,,
24,7.0,,,,,
25,,,,,,11.0
26,,10.0,,,,
27,,14.0,,,,
28,,10.0,,,,
29,11.0,,,,,
30,7.0,,,,,
31,11.0,,,,,
32,,,,,,11.0
33,11.0,,,,,
34,,,,,16.0,
35,,14.0,,,,
36,7.0,,,,,
37,7.0,,,,,
38,,,,,,19.0
39,7.0,,,,,
40,,,,,,11.0
41,,10.0,,,,
42,11.0,,,,,
43,,8.0,,,,
44,,,,,,21.0
45,,14.0,,,,
46,,,,,,11.0
47,,14.0,,,,
48,,,,,,9.0
49,7.0,,,,,
