,FLAT_started_FLAT_won,UCT_5000_started_FLAT_won,FLAT_started_Tie,UCT_5000_started_Tie,FLAT_started_UCT_5000_won,UCT_5000_started_UCT_5000_won
0,9.0,,,,,
1,,,,,,17.0
2,11.0,,,,,
3,,12.0,,,,
4,11.0,,,,,
5,7.0,,,,,
6,,,,,12.0,
7,11.0,,,,,
8,7.0,,,,,
9,13.0,,,,,
10,9.0,,,,,
11,11.0,,,,,
12,,14.0,,,,
13,,,,,,17.0
14,7.0,,,,,
15,,,,,,9.0
16,,12.0,,,,
17,,,,,,9.0
18,11.0,,,,,
19,,,,,,17.0
20,,,,,,17.0
21,,,,,,13.0
22,,14.0,,,,
23,7.0,,,,,
24,11.0,,,,,
25,,,,,,13.0
26,11.0,,,,,
27,,,,,,9.0
28,9.0,,,,,
29,,,,,,19.0
30,7.0,,,,,
31,11.0,,,,,
32,7.0,,,,,
33,7.0,,,,,
34,7.0,,,,,
35,,10.0,,,,
36,7.0,,,,,
37,7.0,,,,,
38,7.0,,,,,
39,7.0,,,,,
40,9.0,,,,,
41,7.0,,,,,
42,,,,,,17.0
43,11.0,,,,,
44,,,,,,17.0
45,11.0,,,,,
46,,14.0,,,,
47,,,,,,17.0
48,,,,,,17.0
49,7.0,,,,,
