,ZERO_started_ZERO_won,UCT_3000_started_ZERO_won,ZERO_started_Tie,UCT_3000_started_Tie,ZERO_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,7.0,,,,,
1,,8.0,,,,
2,,,,,,9.0
3,7.0,,,,,
4,7.0,,,,,
5,,,,,,13.0
6,7.0,,,,,
7,,14.0,,,,
8,,8.0,,,,
9,,,,,,15.0
10,9.0,,,,,
11,,8.0,,,,
12,,,,,,9.0
13,,,,,,9.0
14,9.0,,,,,
15,11.0,,,,,
16,11.0,,,,,
17,,,,,,13.0
18,7.0,,,,,
19,7.0,,,,,
20,13.0,,,,,
21,,12.0,,,,
22,7.0,,,,,
23,,,,,,9.0
24,,,,,,13.0
25,,14.0,,,,
26,9.0,,,,,
27,11.0,,,,,
28,9.0,,,,,
29,,14.0,,,,
30,7.0,,,,,
31,11.0,,,,,
32,,,,,22.0,
33,7.0,,,,,
34,7.0,,,,,
35,9.0,,,,,
36,7.0,,,,,
37,,14.0,,,,
38,,,,,,7.0
39,,8.0,,,,
40,,,,,,9.0
41,,,,,,17.0
42,,,,,,9.0
43,,,,,22.0,
44,,12.0,,,,
45,7.0,,,,,
46,,,,,,11.0
47,11.0,,,,,
48,11.0,,,,,
49,9.0,,,,,
