,FLAT_v1_started_FLAT_v1_won,FLAT_v2_started_FLAT_v1_won,FLAT_v1_started_Tie,FLAT_v2_started_Tie,FLAT_v1_started_FLAT_v2_won,FLAT_v2_started_FLAT_v2_won
0,,,,36.0,,
1,13.0,,,,,
2,13.0,,,,,
3,,,,36.0,,
4,,,,36.0,,
5,,,,36.0,,
6,13.0,,,,,
7,13.0,,,,,
8,,,,36.0,,
9,,,,36.0,,
10,,,,36.0,,
11,,,,36.0,,
12,13.0,,,,,
13,,,,36.0,,
14,13.0,,,,,
15,13.0,,,,,
16,,,,36.0,,
17,13.0,,,,,
18,13.0,,,,,
19,13.0,,,,,
20,,,,36.0,,
21,,,,36.0,,
22,,,,36.0,,
23,13.0,,,,,
24,13.0,,,,,
25,,,,36.0,,
26,,,,36.0,,
27,13.0,,,,,
28,13.0,,,,,
29,13.0,,,,,
30,,,,36.0,,
31,,,,36.0,,
32,,,,36.0,,
33,13.0,,,,,
34,,,,36.0,,
35,13.0,,,,,
36,13.0,,,,,
37,13.0,,,,,
38,13.0,,,,,
39,13.0,,,,,
40,13.0,,,,,
41,,,,36.0,,
42,,,,36.0,,
43,13.0,,,,,
44,,,,36.0,,
45,13.0,,,,,
46,,,,36.0,,
47,,,,36.0,,
48,13.0,,,,,
49,13.0,,,,,
