,ZERO_v3_started_ZERO_v3_won,UCT_1000_started_ZERO_v3_won,ZERO_v3_started_Tie,UCT_1000_started_Tie,ZERO_v3_started_UCT_1000_won,UCT_1000_started_UCT_1000_won
0,11.0,,,,,
1,,,,,,7.0
2,,,,,,11.0
3,,,,,,9.0
4,,16.0,,,,
5,,8.0,,,,
6,,,,,,9.0
7,,8.0,,,,
8,9.0,,,,,
9,,,,,,13.0
10,,8.0,,,,
11,13.0,,,,,
12,,8.0,,,,
13,,,,,,11.0
14,7.0,,,,,
15,,10.0,,,,
16,7.0,,,,,
17,,10.0,,,,
18,,8.0,,,,
19,,8.0,,,,
20,7.0,,,,,
21,7.0,,,,,
22,,,,,,9.0
23,7.0,,,,,
24,7.0,,,,,
25,7.0,,,,,
26,,20.0,,,,
27,9.0,,,,,
28,7.0,,,,,
29,7.0,,,,,
30,11.0,,,,,
31,7.0,,,,,
32,9.0,,,,,
33,,10.0,,,,
34,,8.0,,,,
35,9.0,,,,,
36,11.0,,,,,
37,,8.0,,,,
38,,8.0,,,,
39,,12.0,,,,
40,,12.0,,,,
41,11.0,,,,,
42,,8.0,,,,
43,7.0,,,,,
44,7.0,,,,,
45,7.0,,,,,
46,,8.0,,,,
47,,10.0,,,,
48,7.0,,,,,
49,11.0,,,,,
