,ZERO_started_ZERO_won,UCT_5000_started_ZERO_won,ZERO_started_Tie,UCT_5000_started_Tie,ZERO_started_UCT_5000_won,UCT_5000_started_UCT_5000_won
0,11.0,,,,,
1,7.0,,,,,
2,11.0,,,,,
3,7.0,,,,,
4,,,,,,17.0
5,7.0,,,,,
6,7.0,,,,,
7,7.0,,,,,
8,,,,,,9.0
9,7.0,,,,,
10,13.0,,,,,
11,,,,,,17.0
12,,,,,,15.0
13,,,,,,7.0
14,,,,,,15.0
15,,10.0,,,,
16,,,,,,13.0
17,,,36.0,,,
18,,,,,24.0,
19,11.0,,,,,
20,,,,,,11.0
21,11.0,,,,,
22,,,,,,11.0
23,,10.0,,,,
24,,,,,,13.0
25,,,,,,11.0
26,7.0,,,,,
27,7.0,,,,,
28,,,,,,17.0
29,13.0,,,,,
30,,12.0,,,,
31,,,,,,15.0
32,,14.0,,,,
33,,,,,,9.0
34,7.0,,,,,
35,,,,,,9.0
36,,8.0,,,,
37,7.0,,,,,
38,,14.0,,,,
39,11.0,,,,,
40,,,,,,11.0
41,,,,,,13.0
42,7.0,,,,,
43,11.0,,,,,
44,,,,,,11.0
45,11.0,,,,,
46,7.0,,,,,
47,13.0,,,,,
48,,8.0,,,,
49,7.0,,,,,
