,Zero_started_Zero_won,UCT3_started_Zero_won,Zero_started_Tie,UCT3_started_Tie,Zero_started_UCT3_won,UCT3_started_UCT3_won
0,15.0,,,,,
1,,14.0,,,,
2,7.0,,,,,
3,,12.0,,,,
4,,14.0,,,,
5,,12.0,,,,
6,,14.0,,,,
7,7.0,,,,,
8,,,,,,11.0
9,,12.0,,,,
