[2023-12-26 21:09:34,297] kl: 0.03002, lrMultiplier: 0.088, loss: 2.94842, entropy: 2.44440, explVarOld: 0.247, explVarNew: 0.263
[2023-12-26 21:09:39,906] kl: 0.02360, lrMultiplier: 0.088, loss: 2.78795, entropy: 2.35591, explVarOld: 0.231, explVarNew: 0.241
[2023-12-26 21:09:44,010] kl: 0.02372, lrMultiplier: 0.088, loss: 2.86102, entropy: 2.30629, explVarOld: 0.262, explVarNew: 0.257
[2023-12-26 21:09:49,023] kl: 0.02513, lrMultiplier: 0.088, loss: 2.84017, entropy: 2.37568, explVarOld: 0.240, explVarNew: 0.252
[2023-12-26 21:09:52,568] kl: 0.01187, lrMultiplier: 0.088, loss: 2.84619, entropy: 2.41263, explVarOld: 0.247, explVarNew: 0.251
[2023-12-26 21:09:56,707] kl: 0.02721, lrMultiplier: 0.088, loss: 2.88578, entropy: 2.33782, explVarOld: 0.195, explVarNew: 0.201
[2023-12-26 21:09:56,707] evalBatch: 50
[2023-12-26 21:10:24,906] numPlayouts: 1000, win: 0, lose: 10, tie: 0, avgCurrStarted: 0.5
[2023-12-26 21:10:30,336] kl: 0.00865, lrMultiplier: 0.132, loss: 2.88555, entropy: 2.30395, explVarOld: 0.263, explVarNew: 0.265
[2023-12-26 21:10:36,256] kl: 0.04536, lrMultiplier: 0.088, loss: 2.80627, entropy: 2.41030, explVarOld: 0.275, explVarNew: 0.282
[2023-12-26 21:10:39,979] kl: 0.00588, lrMultiplier: 0.132, loss: 2.86857, entropy: 2.36289, explVarOld: 0.272, explVarNew: 0.279
[2023-12-26 21:10:44,288] kl: 0.04586, lrMultiplier: 0.088, loss: 2.84310, entropy: 2.30092, explVarOld: 0.246, explVarNew: 0.256
[2023-12-26 21:10:48,422] kl: 0.00758, lrMultiplier: 0.132, loss: 2.97741, entropy: 2.30544, explVarOld: 0.190, explVarNew: 0.197
[2023-12-26 21:10:52,690] kl: 0.03450, lrMultiplier: 0.132, loss: 2.84904, entropy: 2.30529, explVarOld: 0.163, explVarNew: 0.165
[2023-12-26 21:10:57,692] kl: 0.02774, lrMultiplier: 0.132, loss: 2.83118, entropy: 2.32411, explVarOld: 0.224, explVarNew: 0.234
[2023-12-26 21:11:03,240] kl: 0.01983, lrMultiplier: 0.132, loss: 2.77985, entropy: 2.27952, explVarOld: 0.253, explVarNew: 0.257
[2023-12-26 21:11:08,809] kl: 0.02474, lrMultiplier: 0.132, loss: 2.72697, entropy: 2.25490, explVarOld: 0.280, explVarNew: 0.285
[2023-12-26 21:11:13,375] kl: 0.01636, lrMultiplier: 0.132, loss: 2.74888, entropy: 2.24282, explVarOld: 0.273, explVarNew: 0.285
[2023-12-26 21:11:18,086] kl: 0.02289, lrMultiplier: 0.132, loss: 2.76195, entropy: 2.21110, explVarOld: 0.193, explVarNew: 0.197
[2023-12-26 21:11:23,331] kl: 0.02415, lrMultiplier: 0.132, loss: 2.57000, entropy: 2.17691, explVarOld: 0.226, explVarNew: 0.247
[2023-12-26 21:11:29,065] kl: 0.02212, lrMultiplier: 0.132, loss: 2.78200, entropy: 2.19756, explVarOld: 0.185, explVarNew: 0.189
[2023-12-26 21:11:34,608] kl: 0.02685, lrMultiplier: 0.132, loss: 2.59306, entropy: 2.19816, explVarOld: 0.251, explVarNew: 0.256
[2023-12-26 21:11:38,509] kl: 0.01556, lrMultiplier: 0.132, loss: 2.74024, entropy: 2.19414, explVarOld: 0.216, explVarNew: 0.225
[2023-12-26 21:11:41,737] kl: 0.01968, lrMultiplier: 0.132, loss: 2.64972, entropy: 2.13236, explVarOld: 0.204, explVarNew: 0.204
[2023-12-26 21:11:47,067] kl: 0.03139, lrMultiplier: 0.132, loss: 2.63380, entropy: 2.19020, explVarOld: 0.251, explVarNew: 0.255
[2023-12-26 21:11:50,018] kl: 0.01478, lrMultiplier: 0.132, loss: 2.74700, entropy: 2.23326, explVarOld: 0.192, explVarNew: 0.198
[2023-12-26 21:11:55,299] kl: 0.02664, lrMultiplier: 0.132, loss: 2.58516, entropy: 2.11642, explVarOld: 0.227, explVarNew: 0.244
[2023-12-26 21:12:00,520] kl: 0.01849, lrMultiplier: 0.132, loss: 2.65211, entropy: 2.11554, explVarOld: 0.262, explVarNew: 0.265
[2023-12-26 21:12:05,721] kl: 0.01832, lrMultiplier: 0.132, loss: 2.48449, entropy: 2.08781, explVarOld: 0.269, explVarNew: 0.279
[2023-12-26 21:12:12,081] kl: 0.01060, lrMultiplier: 0.132, loss: 2.55502, entropy: 2.01603, explVarOld: 0.224, explVarNew: 0.230
[2023-12-26 21:12:17,617] kl: 0.02981, lrMultiplier: 0.132, loss: 2.63265, entropy: 2.11597, explVarOld: 0.211, explVarNew: 0.221
[2023-12-26 21:12:22,778] kl: 0.03669, lrMultiplier: 0.132, loss: 2.65366, entropy: 2.15807, explVarOld: 0.222, explVarNew: 0.235
[2023-12-26 21:12:28,475] kl: 0.08276, lrMultiplier: 0.088, loss: 2.60188, entropy: 2.02286, explVarOld: 0.172, explVarNew: 0.182
[2023-12-26 21:12:33,749] kl: 0.06344, lrMultiplier: 0.088, loss: 2.57121, entropy: 2.04832, explVarOld: 0.203, explVarNew: 0.208
[2023-12-26 21:12:37,769] kl: 0.00854, lrMultiplier: 0.132, loss: 2.52887, entropy: 2.00851, explVarOld: 0.251, explVarNew: 0.257
[2023-12-26 21:12:43,202] kl: 0.02408, lrMultiplier: 0.132, loss: 2.60069, entropy: 2.10385, explVarOld: 0.176, explVarNew: 0.190
[2023-12-26 21:12:47,016] kl: 0.01176, lrMultiplier: 0.132, loss: 2.53905, entropy: 2.07641, explVarOld: 0.143, explVarNew: 0.154
[2023-12-26 21:12:53,263] kl: 0.01572, lrMultiplier: 0.132, loss: 2.47964, entropy: 2.03177, explVarOld: 0.239, explVarNew: 0.247
[2023-12-26 21:12:58,463] kl: 0.02992, lrMultiplier: 0.132, loss: 2.66510, entropy: 2.03610, explVarOld: 0.203, explVarNew: 0.208
[2023-12-26 21:13:03,511] kl: 0.03561, lrMultiplier: 0.132, loss: 2.58069, entropy: 2.00620, explVarOld: 0.160, explVarNew: 0.172
[2023-12-26 21:13:08,053] kl: 0.02698, lrMultiplier: 0.132, loss: 2.58488, entropy: 1.95994, explVarOld: 0.188, explVarNew: 0.198
[2023-12-26 21:13:12,689] kl: 0.02958, lrMultiplier: 0.132, loss: 2.46454, entropy: 1.99504, explVarOld: 0.162, explVarNew: 0.166
[2023-12-26 21:13:17,734] kl: 0.02907, lrMultiplier: 0.132, loss: 2.48522, entropy: 1.97432, explVarOld: 0.167, explVarNew: 0.173
[2023-12-26 21:13:23,086] kl: 0.03059, lrMultiplier: 0.132, loss: 2.47233, entropy: 1.94656, explVarOld: 0.190, explVarNew: 0.198
[2023-12-26 21:13:27,799] kl: 0.04798, lrMultiplier: 0.088, loss: 2.59395, entropy: 2.02760, explVarOld: 0.168, explVarNew: 0.172
[2023-12-26 21:13:31,794] kl: 0.03048, lrMultiplier: 0.088, loss: 2.63738, entropy: 2.02069, explVarOld: 0.176, explVarNew: 0.188
[2023-12-26 21:13:36,691] kl: 0.01673, lrMultiplier: 0.088, loss: 2.44982, entropy: 1.90933, explVarOld: 0.180, explVarNew: 0.199
[2023-12-26 21:13:42,243] kl: 0.02143, lrMultiplier: 0.088, loss: 2.53479, entropy: 1.99626, explVarOld: 0.212, explVarNew: 0.219
[2023-12-26 21:13:46,674] kl: 0.02259, lrMultiplier: 0.088, loss: 2.50688, entropy: 1.93906, explVarOld: 0.150, explVarNew: 0.156
[2023-12-26 21:13:52,436] kl: 0.01621, lrMultiplier: 0.088, loss: 2.33231, entropy: 1.90197, explVarOld: 0.243, explVarNew: 0.248
[2023-12-26 21:13:57,543] kl: 0.01762, lrMultiplier: 0.088, loss: 2.37848, entropy: 1.88612, explVarOld: 0.221, explVarNew: 0.223
[2023-12-26 21:14:02,445] kl: 0.02646, lrMultiplier: 0.088, loss: 2.37228, entropy: 1.92368, explVarOld: 0.241, explVarNew: 0.258
[2023-12-26 21:14:07,750] kl: 0.01691, lrMultiplier: 0.088, loss: 2.45838, entropy: 1.89689, explVarOld: 0.148, explVarNew: 0.159
[2023-12-26 21:14:12,386] kl: 0.01824, lrMultiplier: 0.088, loss: 2.12937, entropy: 1.85195, explVarOld: 0.231, explVarNew: 0.223
[2023-12-26 21:14:17,178] kl: 0.01536, lrMultiplier: 0.088, loss: 2.30940, entropy: 1.83248, explVarOld: 0.162, explVarNew: 0.168
[2023-12-26 21:14:23,479] kl: 0.01736, lrMultiplier: 0.088, loss: 2.30409, entropy: 1.83579, explVarOld: 0.099, explVarNew: 0.107
[2023-12-26 21:14:28,527] kl: 0.01786, lrMultiplier: 0.088, loss: 2.23742, entropy: 1.73649, explVarOld: 0.106, explVarNew: 0.120
[2023-12-26 21:14:34,760] kl: 0.01559, lrMultiplier: 0.088, loss: 2.23539, entropy: 1.73054, explVarOld: 0.166, explVarNew: 0.173
[2023-12-26 21:14:34,760] evalBatch: 100
[2023-12-26 21:15:06,901] BEST POLICY!!!!!!!
[2023-12-26 21:15:06,902] numPlayouts: 1000, win: 1, lose: 9, tie: 0, avgCurrStarted: 0.6
[2023-12-26 21:15:12,052] kl: 0.04137, lrMultiplier: 0.088, loss: 2.25379, entropy: 1.80263, explVarOld: 0.169, explVarNew: 0.176
[2023-12-26 21:15:17,734] kl: 0.02759, lrMultiplier: 0.088, loss: 2.24491, entropy: 1.79208, explVarOld: 0.127, explVarNew: 0.131
[2023-12-26 21:15:23,316] kl: 0.02368, lrMultiplier: 0.088, loss: 2.19387, entropy: 1.80246, explVarOld: 0.002, explVarNew: 0.009
[2023-12-26 21:15:26,857] kl: 0.01625, lrMultiplier: 0.088, loss: 2.24756, entropy: 1.67283, explVarOld: 0.035, explVarNew: 0.040
[2023-12-26 21:15:32,382] kl: 0.03526, lrMultiplier: 0.088, loss: 2.30126, entropy: 1.73946, explVarOld: 0.032, explVarNew: 0.038
[2023-12-26 21:15:35,780] kl: 0.02308, lrMultiplier: 0.088, loss: 2.16992, entropy: 1.73160, explVarOld: 0.084, explVarNew: 0.087
[2023-12-26 21:15:41,003] kl: 0.01108, lrMultiplier: 0.088, loss: 2.25750, entropy: 1.73381, explVarOld: 0.041, explVarNew: 0.047
[2023-12-26 21:15:46,432] kl: 0.00916, lrMultiplier: 0.132, loss: 2.15615, entropy: 1.74168, explVarOld: 0.052, explVarNew: 0.057
