,Flat_started_Flat_won,UCT3_started_Flat_won,Flat_started_Tie,UCT3_started_Tie,Flat_started_UCT3_won,UCT3_started_UCT3_won
0,,,,,,17.0
1,,,,,22.0,
2,,,,,,21.0
3,,,,,32.0,
4,,,,,,19.0
5,,,,,22.0,
6,,,,,,15.0
7,,,,,,11.0
8,15.0,,,,,
9,,,,,10.0,
