,Zero_started_Zero_won,UCT1_started_Zero_won,Zero_started_Tie,UCT1_started_Tie,Zero_started_UCT1_won,UCT1_started_UCT1_won
0,9.0,,,,,
1,9.0,,,,,
2,,10.0,,,,
3,9.0,,,,,
4,,22.0,,,,
5,,10.0,,,,
6,,,,,,31.0
7,9.0,,,,,
8,9.0,,,,,
9,9.0,,,,,
