,ZRem_started_ZRem_won,UCT6_started_ZRem_won,ZRem_started_Tie,UCT6_started_Tie,ZRem_started_UCT6_won,UCT6_started_UCT6_won
0,,10.0,,,,
1,,,,,,47.0
2,,,,,34.0,
3,,,,,,11.0
4,9.0,,,,,
5,,,,,,33.0
6,29.0,,,,,
7,,,,,,33.0
8,,,,,34.0,
9,,,,,,17.0
