,ZEROX_v4_started_ZEROX_v4_won,UCT_6000_started_ZEROX_v4_won,ZEROX_v4_started_Tie,UCT_6000_started_Tie,ZEROX_v4_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,11.0,,,,,
1,,12.0,,,,
2,9.0,,,,,
3,11.0,,,,,
4,,12.0,,,,
5,,,,,16.0,
6,,,,,10.0,
7,,10.0,,,,
8,,,,,,9.0
9,,,,,10.0,
10,,,,,10.0,
11,,,,,,17.0
12,11.0,,,,,
13,,14.0,,,,
14,,,,,10.0,
15,,,,,,11.0
16,,,,,16.0,
17,,10.0,,,,
18,,10.0,,,,
19,,10.0,,,,
20,13.0,,,,,
21,,,,,,9.0
22,,,,,,9.0
23,,,,,10.0,
24,,12.0,,,,
25,,24.0,,,,
26,,,,,18.0,
27,,14.0,,,,
28,15.0,,,,,
29,,,,,,15.0
30,11.0,,,,,
31,15.0,,,,,
32,,,,,,17.0
33,11.0,,,,,
34,11.0,,,,,
35,,,,,,15.0
36,25.0,,,,,
37,,,,,,17.0
38,,,,,,27.0
39,13.0,,,,,
40,,12.0,,,,
41,,,,,,9.0
42,,,,,,17.0
43,,,,,,17.0
44,21.0,,,,,
45,9.0,,,,,
46,11.0,,,,,
47,17.0,,,,,
48,21.0,,,,,
49,,10.0,,,,
