,FLAT_v3_started_FLAT_v3_won,ZERO_v3_started_FLAT_v3_won,FLAT_v3_started_Tie,ZERO_v3_started_Tie,FLAT_v3_started_ZERO_v3_won,ZERO_v3_started_ZERO_v3_won
0,,,,,,43.0
1,,,,,30.0,
2,,,,,14.0,
3,,,,,,35.0
4,,,,,36.0,
5,,,,,,11.0
6,,,,,56.0,
7,,,,,,35.0
8,,,,,,31.0
9,,,,,,33.0
10,,,,,44.0,
11,,,,,30.0,
12,,,,,16.0,
13,25.0,,,,,
14,,,,,,53.0
15,,,,,,11.0
16,,,,,76.0,
17,,,,,,39.0
18,,30.0,,,,
19,,,,,34.0,
20,,,,,,23.0
21,,,,,,23.0
22,,,,,,17.0
23,,,,,48.0,
24,,,,,,41.0
25,,,,,,37.0
26,,,,,,39.0
27,,,,,22.0,
28,,,,,44.0,
29,,,,,40.0,
30,,,,,,57.0
31,,,,,38.0,
32,,,,,,19.0
33,,,,,,25.0
34,,,,,,11.0
35,33.0,,,,,
36,,,,,20.0,
37,,,,,20.0,
38,,,,,52.0,
39,,,,,34.0,
40,,,,,24.0,
41,,,,,34.0,
42,45.0,,,,,
43,,,,,,11.0
44,,,,,74.0,
45,,,,,,11.0
46,,,,,,17.0
47,,,,,16.0,
48,,,,,,27.0
49,,,,,,25.0
