,ZEROX_v3_started_ZEROX_v3_won,UCT_2000_started_ZEROX_v3_won,ZEROX_v3_started_Tie,UCT_2000_started_Tie,ZEROX_v3_started_UCT_2000_won,UCT_2000_started_UCT_2000_won
0,,12.0,,,,
1,9.0,,,,,
2,9.0,,,,,
3,9.0,,,,,
4,,,,,,15.0
5,,14.0,,,,
6,,24.0,,,,
7,,,,,,25.0
8,,12.0,,,,
9,,10.0,,,,
10,9.0,,,,,
11,9.0,,,,,
12,,10.0,,,,
13,9.0,,,,,
14,9.0,,,,,
15,9.0,,,,,
16,,10.0,,,,
17,11.0,,,,,
18,,10.0,,,,
19,,24.0,,,,
20,9.0,,,,,
21,,18.0,,,,
22,9.0,,,,,
23,15.0,,,,,
24,,16.0,,,,
25,9.0,,,,,
26,,14.0,,,,
27,9.0,,,,,
28,,12.0,,,,
29,,10.0,,,,
30,,12.0,,,,
31,9.0,,,,,
32,,14.0,,,,
33,9.0,,,,,
34,,14.0,,,,
35,,,,,,29.0
36,,12.0,,,,
37,,,,,,11.0
38,,,,,,19.0
39,,12.0,,,,
40,9.0,,,,,
41,,,,,,13.0
42,15.0,,,,,
43,9.0,,,,,
44,,16.0,,,,
45,9.0,,,,,
46,23.0,,,,,
47,9.0,,,,,
48,9.0,,,,,
49,9.0,,,,,
