,ZERO_v3_started_ZERO_v3_won,UCT_4000_started_ZERO_v3_won,ZERO_v3_started_Tie,UCT_4000_started_Tie,ZERO_v3_started_UCT_4000_won,UCT_4000_started_UCT_4000_won
0,,,,,18.0,
1,,14.0,,,,
2,,10.0,,,,
3,,,,,,17.0
4,,,,,,9.0
5,9.0,,,,,
6,,14.0,,,,
7,,,,,,15.0
8,,10.0,,,,
9,,,,,,13.0
10,,12.0,,,,
11,,,,,,15.0
12,,,,,,13.0
13,,,,,,21.0
14,,10.0,,,,
15,,10.0,,,,
16,,14.0,,,,
17,9.0,,,,,
18,,,,,,11.0
19,,,,,,9.0
20,9.0,,,,,
21,9.0,,,,,
22,,14.0,,,,
23,15.0,,,,,
24,,,,,,11.0
25,,,,,,23.0
26,9.0,,,,,
27,9.0,,,,,
28,19.0,,,,,
29,,,,,22.0,
30,,,,,,17.0
31,,,,,,15.0
32,9.0,,,,,
33,9.0,,,,,
34,,,,,,11.0
35,9.0,,,,,
36,9.0,,,,,
37,,12.0,,,,
38,,,,,,11.0
39,15.0,,,,,
40,9.0,,,,,
41,9.0,,,,,
42,9.0,,,,,
43,9.0,,,,,
44,,,,,,9.0
45,,,,,18.0,
46,,10.0,,,,
47,,,,,,11.0
48,,,,,,19.0
49,9.0,,,,,
