,ZERO_v1_started_ZERO_v1_won,UCT_2000_started_ZERO_v1_won,ZERO_v1_started_Tie,UCT_2000_started_Tie,ZERO_v1_started_UCT_2000_won,UCT_2000_started_UCT_2000_won
0,,,,,,15.0
1,25.0,,,,,
2,23.0,,,,,
3,,10.0,,,,
4,,,,,16.0,
5,,,,,,21.0
6,11.0,,,,,
7,,14.0,,,,
8,,,,,10.0,
9,,,,,18.0,
10,,10.0,,,,
11,,,,,14.0,
12,11.0,,,,,
13,11.0,,,,,
14,,10.0,,,,
15,,,,,,11.0
16,,12.0,,,,
17,,,,,14.0,
18,,12.0,,,,
19,15.0,,,,,
20,13.0,,,,,
21,,,,,16.0,
22,,10.0,,,,
23,,10.0,,,,
24,,10.0,,,,
25,,,,,12.0,
26,,,,,14.0,
27,,,,,14.0,
28,,24.0,,,,
29,,,,,12.0,
30,11.0,,,,,
31,,,,,,11.0
32,17.0,,,,,
33,,,,,16.0,
34,17.0,,,,,
35,,,,,,15.0
36,13.0,,,,,
37,,,,,12.0,
38,13.0,,,,,
39,,,,,,15.0
40,13.0,,,,,
41,,12.0,,,,
42,,,,,14.0,
43,,16.0,,,,
44,15.0,,,,,
45,11.0,,,,,
46,17.0,,,,,
47,,,,,12.0,
48,,12.0,,,,
49,,,,,,27.0
