,ZEROX_v2_started_ZEROX_v2_won,UCT_4000_started_ZEROX_v2_won,ZEROX_v2_started_Tie,UCT_4000_started_Tie,ZEROX_v2_started_UCT_4000_won,UCT_4000_started_UCT_4000_won
0,17.0,,,,,
1,,,,,,9.0
2,,,,,,9.0
3,9.0,,,,,
4,,,,,,11.0
5,9.0,,,,,
6,9.0,,,,,
7,,,,,,11.0
8,,,,,,9.0
9,,,,,,9.0
10,,,,,,19.0
11,,,,,,11.0
12,9.0,,,,,
13,,,,,,11.0
14,,,,,,13.0
15,,,,,,13.0
16,,,,,,9.0
17,,,,,16.0,
18,,12.0,,,,
19,,,,,20.0,
20,15.0,,,,,
21,,,,,26.0,
22,9.0,,,,,
23,,,,,18.0,
24,9.0,,,,,
25,,,,,,9.0
26,,,,,,11.0
27,,,,,,15.0
28,15.0,,,,,
29,9.0,,,,,
30,,,,,,9.0
31,,12.0,,,,
32,9.0,,,,,
33,,10.0,,,,
34,,10.0,,,,
35,9.0,,,,,
36,17.0,,,,,
37,,,,,,21.0
38,,,,,22.0,
39,,,,,,17.0
40,9.0,,,,,
41,,,,,,13.0
42,,,,,,19.0
43,9.0,,,,,
44,,,,,14.0,
45,,10.0,,,,
46,,,,,14.0,
47,,,,,,9.0
48,,,,,,13.0
49,,,,,,9.0
