,ZERO_v5_started_ZERO_v5_won,UCT_6000_started_ZERO_v5_won,ZERO_v5_started_Tie,UCT_6000_started_Tie,ZERO_v5_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,,,,16.0,
1,9.0,,,,,
2,9.0,,,,,
3,,,,,,15.0
4,,,,,,31.0
5,,10.0,,,,
6,9.0,,,,,
7,,,,,18.0,
8,9.0,,,,,
9,9.0,,,,,
10,,,,,24.0,
11,9.0,,,,,
12,,,,,14.0,
13,,10.0,,,,
14,,12.0,,,,
15,,,,,18.0,
16,,10.0,,,,
17,,,,,24.0,
18,9.0,,,,,
19,,10.0,,,,
20,9.0,,,,,
21,,,,,,23.0
22,,,,,14.0,
23,9.0,,,,,
24,,,,,,17.0
25,,10.0,,,,
26,9.0,,,,,
27,,,,,20.0,
28,9.0,,,,,
29,9.0,,,,,
30,,10.0,,,,
31,,18.0,,,,
32,,,,,,17.0
33,9.0,,,,,
34,,24.0,,,,
35,,,,,,25.0
36,,,,,16.0,
37,,20.0,,,,
38,9.0,,,,,
39,,,,,,13.0
40,19.0,,,,,
41,,18.0,,,,
42,,10.0,,,,
43,,10.0,,,,
44,,,,,14.0,
45,9.0,,,,,
46,9.0,,,,,
47,,,,,28.0,
48,9.0,,,,,
49,17.0,,,,,
