,FLAT_v3_started_FLAT_v3_won,FLAT_v5_started_FLAT_v3_won,FLAT_v3_started_Tie,FLAT_v5_started_Tie,FLAT_v3_started_FLAT_v5_won,FLAT_v5_started_FLAT_v5_won
0,,12.0,,,,
1,,,,,,9.0
2,29.0,,,,,
3,,20.0,,,,
4,17.0,,,,,
5,,,,,24.0,
6,17.0,,,,,
7,,,,,,9.0
8,,,,,12.0,
9,,,,,,9.0
10,,,,,,9.0
11,,,,,,9.0
12,17.0,,,,,
13,,14.0,,,,
14,,,,,,9.0
15,,12.0,,,,
16,,,,,,11.0
17,23.0,,,,,
18,,,,,,9.0
19,21.0,,,,,
20,,,,,18.0,
21,,10.0,,,,
22,,,,,12.0,
23,,12.0,,,,
24,,,,,,11.0
25,21.0,,,,,
26,,,,,16.0,
27,,,,,10.0,
28,19.0,,,,,
29,,12.0,,,,
30,23.0,,,,,
31,,,,,,9.0
32,,,,,,17.0
33,13.0,,,,,
34,,,,,,11.0
35,,,,,,9.0
36,,,,,,11.0
37,,,,,34.0,
38,,10.0,,,,
39,9.0,,,,,
40,,,,,,9.0
41,,12.0,,,,
42,17.0,,,,,
43,,,,,12.0,
44,,,,,,9.0
45,,,,,,9.0
46,9.0,,,,,
47,,,,,,13.0
48,,,,,,9.0
49,15.0,,,,,
