,FLAT_v2_started_FLAT_v2_won,ZEROX_v2_started_FLAT_v2_won,FLAT_v2_started_Tie,ZEROX_v2_started_Tie,FLAT_v2_started_ZEROX_v2_won,ZEROX_v2_started_ZEROX_v2_won
0,,,,,,23.0
1,,,,,,31.0
2,,,,,,35.0
3,,,,,20.0,
4,,,,,,37.0
5,,,,,20.0,
6,,,,,,27.0
7,,,,,16.0,
8,,,,,,31.0
9,,,,,,41.0
10,,,,,48.0,
11,39.0,,,,,
12,,,,,,35.0
13,,,,,,31.0
14,,,,,14.0,
15,29.0,,,,,
16,,,,,,25.0
17,,,,,,31.0
18,,,,,26.0,
19,,,,,18.0,
20,,,,,,27.0
21,,,,,30.0,
22,,,,,,37.0
23,,,,,10.0,
24,,,,,16.0,
25,25.0,,,,,
26,25.0,,,,,
27,,,,,,25.0
28,,,,,,27.0
29,,,,,,37.0
30,,,,,16.0,
31,,,,,,17.0
32,,,,,,19.0
33,,,,,,31.0
34,,,,,16.0,
35,,,,,,17.0
36,,,,,,29.0
37,,,,,,31.0
38,,,,,,19.0
39,,,,,,33.0
40,,,,,,19.0
41,,,,,,29.0
42,,,,,,23.0
43,,,,,20.0,
44,,,,,,17.0
45,,,,,16.0,
46,,,,,22.0,
47,,,,,,23.0
48,,,,,,23.0
49,,,,,16.0,
