,ZERO_v4_started_ZERO_v4_won,ZEROX_v4_started_ZERO_v4_won,ZERO_v4_started_Tie,ZEROX_v4_started_Tie,ZERO_v4_started_ZEROX_v4_won,ZEROX_v4_started_ZEROX_v4_won
0,,,,,22.0,
1,,,,,26.0,
2,,,,,,21.0
3,15.0,,,,,
4,21.0,,,,,
5,,,,,,19.0
6,,,,,,11.0
7,,,,,,13.0
8,,,,,22.0,
9,,32.0,,,,
10,,,,,,23.0
11,,42.0,,,,
12,13.0,,,,,
13,27.0,,,,,
14,27.0,,,,,
15,,,,,,13.0
16,21.0,,,,,
17,45.0,,,,,
18,,,,,36.0,
19,,,,,,25.0
20,13.0,,,,,
21,9.0,,,,,
22,21.0,,,,,
23,21.0,,,,,
24,31.0,,,,,
25,,,,,,23.0
26,,,,,,9.0
27,,,,,,15.0
28,,,,,,23.0
29,9.0,,,,,
30,25.0,,,,,
31,,,,,,29.0
32,,24.0,,,,
33,23.0,,,,,
34,13.0,,,,,
35,23.0,,,,,
36,,,,,,17.0
37,19.0,,,,,
38,23.0,,,,,
39,,,,,,17.0
40,17.0,,,,,
41,,,,,,23.0
42,,,,,,13.0
43,,,,,,17.0
44,27.0,,,,,
45,,,,,,13.0
46,31.0,,,,,
47,11.0,,,,,
48,,,,,,27.0
49,,,,,,21.0
