,ZERO_v3_started_ZERO_v3_won,ZERO_v5_started_ZERO_v3_won,ZERO_v3_started_Tie,ZERO_v5_started_Tie,ZERO_v3_started_ZERO_v5_won,ZERO_v5_started_ZERO_v5_won
0,9.0,,,,,
1,,,,,,13.0
2,,,,,,11.0
3,,,,,,9.0
4,,,,,,11.0
5,,,,,,11.0
6,23.0,,,,,
7,,,,,,11.0
8,,,,,,9.0
9,25.0,,,,,
10,11.0,,,,,
11,,,,,,11.0
12,,,,,,11.0
13,,,,,,17.0
14,35.0,,,,,
15,,,,,,13.0
16,,,,,,9.0
17,,,,,,11.0
18,,,,,,9.0
19,,,,,32.0,
20,,,,,,9.0
21,,,,,,9.0
22,,,,,,9.0
23,,,,,,13.0
24,,,,,40.0,
25,,,,,44.0,
26,25.0,,,,,
27,,,,,,11.0
28,,,,,44.0,
29,,,,,,11.0
30,,,,,,9.0
31,,,,,,11.0
32,9.0,,,,,
33,,,,,,13.0
34,27.0,,,,,
35,,,,,,11.0
36,,,,,,15.0
37,,,,,,11.0
38,,,,,,11.0
39,,,,,34.0,
40,,,100.0,,,
41,,,,,,9.0
42,,,,,,9.0
43,,,,,,11.0
44,11.0,,,,,
45,33.0,,,,,
46,35.0,,,,,
47,,,,,38.0,
48,,,,,,13.0
49,,,,,30.0,
