,ZERO_v2_started_ZERO_v2_won,UCT_6000_started_ZERO_v2_won,ZERO_v2_started_Tie,UCT_6000_started_Tie,ZERO_v2_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,,,,14.0,
1,,,,,,9.0
2,,,,,,9.0
3,,,,,,9.0
4,,,,,16.0,
5,,,,,18.0,
6,9.0,,,,,
7,9.0,,,,,
8,,,,,,15.0
9,9.0,,,,,
10,,,,,,13.0
11,9.0,,,,,
12,,,,,14.0,
13,9.0,,,,,
14,,,,,16.0,
15,,,,,16.0,
16,,10.0,,,,
17,,,,,,11.0
18,,10.0,,,,
19,,,,,,11.0
20,,10.0,,,,
21,,,,,,9.0
22,,,,,,15.0
23,,,,,,11.0
24,,,,,,11.0
25,9.0,,,,,
26,9.0,,,,,
27,9.0,,,,,
28,9.0,,,,,
29,,,,,20.0,
30,,10.0,,,,
31,15.0,,,,,
32,9.0,,,,,
33,,,,,,9.0
34,19.0,,,,,
35,,,,,,9.0
36,,,,,,11.0
37,,,,,,9.0
38,,,,,16.0,
39,,,,,14.0,
40,,,,,,9.0
41,,,,,,9.0
42,,,,,12.0,
43,,,,,30.0,
44,,,,,14.0,
45,,,,,,9.0
46,9.0,,,,,
47,,,,,12.0,
48,,12.0,,,,
49,,,,,14.0,
