,ZEROX_v2_started_ZEROX_v2_won,ZEROX_v5_started_ZEROX_v2_won,ZEROX_v2_started_Tie,ZEROX_v5_started_Tie,ZEROX_v2_started_ZEROX_v5_won,ZEROX_v5_started_ZEROX_v5_won
0,,,,,14.0,
1,,,,,,9.0
2,,,,,14.0,
3,17.0,,,,,
4,,,,,,9.0
5,21.0,,,,,
6,,,,,,11.0
7,,,,,,11.0
8,,,,,10.0,
9,,,,,,19.0
10,,,,,16.0,
11,,,,,,13.0
12,,,,,,9.0
13,,,,,14.0,
14,,,,,16.0,
15,,,,,16.0,
16,,,,,,19.0
17,,,,,,11.0
18,,,,,,17.0
19,,,,,,11.0
20,,,,,10.0,
21,,,,,,9.0
22,,,,,22.0,
23,,,,,10.0,
24,,,,,,9.0
25,9.0,,,,,
26,,,,,18.0,
27,,,,,,9.0
28,11.0,,,,,
29,15.0,,,,,
30,,,,,16.0,
31,,,,,16.0,
32,,,,,,9.0
33,,,,,22.0,
34,,,,,24.0,
35,,,,,18.0,
36,,,,,14.0,
37,29.0,,,,,
38,9.0,,,,,
39,,,,,,13.0
40,,,,,10.0,
41,,,,,,11.0
42,23.0,,,,,
43,,,,,,11.0
44,,,,,10.0,
45,27.0,,,,,
46,,,,,,11.0
47,,,,,32.0,
48,,,,,,17.0
49,,,,,,11.0
