,ZEROX_v1_started_ZEROX_v1_won,ZEROX_v2_started_ZEROX_v1_won,ZEROX_v1_started_Tie,ZEROX_v2_started_Tie,ZEROX_v1_started_ZEROX_v2_won,ZEROX_v2_started_ZEROX_v2_won
0,,,,,,49.0
1,,,,,,31.0
2,,,,,,21.0
3,,,,,,35.0
4,19.0,,,,,
5,,,,,,35.0
6,,,,,,69.0
7,,,,,14.0,
8,,,,,,31.0
9,,,,,18.0,
10,,,,,,31.0
11,,,,,,37.0
12,,,,,24.0,
13,45.0,,,,,
14,,,,,,37.0
15,21.0,,,,,
16,,40.0,,,,
17,,,,,,33.0
18,,,,,,25.0
19,21.0,,,,,
20,,,,,34.0,
21,,,,,,47.0
22,,36.0,,,,
23,21.0,,,,,
24,,,,,,41.0
25,,,,,20.0,
26,,,,,34.0,
27,,,,,,41.0
28,,44.0,,,,
29,27.0,,,,,
30,23.0,,,,,
31,,,,,10.0,
32,,,,,40.0,
33,,48.0,,,,
34,,,,,14.0,
35,,,,,42.0,
36,,,,,,39.0
37,,,,,,43.0
38,,,,,,47.0
39,,,,,,15.0
40,,,,,,27.0
41,,,,,14.0,
42,,26.0,,,,
43,33.0,,,,,
44,49.0,,,,,
45,,,,,32.0,
46,,,,,,19.0
47,,,,,,45.0
48,,,,,12.0,
49,39.0,,,,,
