,ZERO_v2_started_ZERO_v2_won,ZEROX_v2_started_ZERO_v2_won,ZERO_v2_started_Tie,ZEROX_v2_started_Tie,ZERO_v2_started_ZEROX_v2_won,ZEROX_v2_started_ZEROX_v2_won
0,37.0,,,,,
1,,,,,,9.0
2,21.0,,,,,
3,17.0,,,,,
4,,20.0,,,,
5,,,,,,19.0
6,13.0,,,,,
7,29.0,,,,,
8,,,,,,23.0
9,,,,,,23.0
10,29.0,,,,,
11,,,,,,15.0
12,,,,,30.0,
13,15.0,,,,,
14,,,,,,21.0
15,21.0,,,,,
16,,,,,,27.0
17,11.0,,,,,
18,,,,,,19.0
19,,,,,,33.0
20,,,,,,13.0
21,,,,,,19.0
22,19.0,,,,,
23,41.0,,,,,
24,,,,,32.0,
25,,,,,,13.0
26,,,,,,23.0
27,,22.0,,,,
28,,,,,28.0,
29,,,,,,13.0
30,17.0,,,,,
31,23.0,,,,,
32,,,,,,25.0
33,,,,,20.0,
34,,,,,,37.0
35,,,,,,19.0
36,17.0,,,,,
37,,26.0,,,,
38,,32.0,,,,
39,,,,,,37.0
40,,,,,,11.0
41,,,,,,25.0
42,17.0,,,,,
43,,,,,,17.0
44,,26.0,,,,
45,,,,,,19.0
46,19.0,,,,,
47,,,,,,29.0
48,25.0,,,,,
49,27.0,,,,,
