,ZERO_v2_started_ZERO_v2_won,ZERO_v3_started_ZERO_v2_won,ZERO_v2_started_Tie,ZERO_v3_started_Tie,ZERO_v2_started_ZERO_v3_won,ZERO_v3_started_ZERO_v3_won
0,23.0,,,,,
1,27.0,,,,,
2,,,,,,13.0
3,,,,,,21.0
4,31.0,,,,,
5,,,,,16.0,
6,,,,,20.0,
7,,,,,,11.0
8,,,,,22.0,
9,,,,,,11.0
10,,,,,,15.0
11,,,,,24.0,
12,,,,,,11.0
13,,,,,10.0,
14,,,,,,11.0
15,,,,,,49.0
16,,,,,,11.0
17,,,,,,47.0
18,19.0,,,,,
19,,,,,,9.0
20,,,,,,19.0
21,,,,,,21.0
22,,,,,,11.0
23,,,,,,11.0
24,,,,,,27.0
25,,,,,,21.0
26,23.0,,,,,
27,23.0,,,,,
28,,,,,,19.0
29,,,,,,15.0
30,,,,,,31.0
31,,,,,,17.0
32,,,,,,11.0
33,,,,,20.0,
34,,,,,,9.0
35,,,,,,23.0
36,,,,,12.0,
37,,,,,,11.0
38,,,,,,9.0
39,,,,,,37.0
40,,,,,,13.0
41,,,,,18.0,
42,,,,,,21.0
43,19.0,,,,,
44,,,,,,9.0
45,,,,,,23.0
46,,,,,40.0,
47,,,,,18.0,
48,,,,,,13.0
49,27.0,,,,,
