,FLAT_v5_started_FLAT_v5_won,ZERO_v5_started_FLAT_v5_won,FLAT_v5_started_Tie,ZERO_v5_started_Tie,FLAT_v5_started_ZERO_v5_won,ZERO_v5_started_ZERO_v5_won
0,,,,,,19.0
1,11.0,,,,,
2,39.0,,,,,
3,,,,,,41.0
4,33.0,,,,,
5,27.0,,,,,
6,,,,,,47.0
7,,,,,,13.0
8,,,,,,19.0
9,,,,,24.0,
10,,,,,,15.0
11,,,,,10.0,
12,,,,,18.0,
13,,,,,,11.0
14,,,,,,13.0
15,,,,,,19.0
16,,,,,,17.0
17,29.0,,,,,
18,,,,,,35.0
19,,,,,22.0,
20,,,,,,23.0
21,13.0,,,,,
22,,,,,,17.0
23,,,,,,29.0
24,23.0,,,,,
25,,,,,,21.0
26,,,,,,43.0
27,29.0,,,,,
28,,,,,24.0,
29,,,,,,25.0
30,,,,,,35.0
31,,,,,,31.0
32,19.0,,,,,
33,,,,,,19.0
34,,,,,14.0,
35,,,,,16.0,
36,15.0,,,,,
37,,,,,,19.0
38,,,,,,23.0
39,,,,,,17.0
40,,,,,,11.0
41,,,,,,23.0
42,,,,,,23.0
43,,,,,26.0,
44,,,,,,15.0
45,,18.0,,,,
46,,,,,,19.0
47,,,,,,21.0
48,,,,,18.0,
49,,,,,,19.0
