,FLAT_v3_started_FLAT_v3_won,ZEROX_v3_started_FLAT_v3_won,FLAT_v3_started_Tie,ZEROX_v3_started_Tie,FLAT_v3_started_ZEROX_v3_won,ZEROX_v3_started_ZEROX_v3_won
0,,,,,34.0,
1,,,,,,17.0
2,,,,,,39.0
3,,,,,32.0,
4,,,,,,29.0
5,,,,,,37.0
6,,,,,,23.0
7,,,,,18.0,
8,,,,,28.0,
9,,,,,12.0,
10,,,,,,25.0
11,,,,,40.0,
12,,,,,18.0,
13,,,,,32.0,
14,,,,,32.0,
15,,,,,40.0,
16,,,,,46.0,
17,,,,,52.0,
18,,,,,,25.0
19,55.0,,,,,
20,,,,,,37.0
21,,,,,,27.0
22,,36.0,,,,
23,,,,,32.0,
24,,,,,,13.0
25,,,,,,27.0
26,,,,,40.0,
27,,,,,28.0,
28,,,,,42.0,
29,,,,,16.0,
30,,,,,,31.0
31,,,,,28.0,
32,,,,,,21.0
33,29.0,,,,,
34,,,,,24.0,
35,,,,,,29.0
36,,,,,40.0,
37,,,,,,57.0
38,,,,,,27.0
39,,,,,,37.0
40,,,,,,23.0
41,,,,,18.0,
42,,,,,,17.0
43,,,,,32.0,
44,,,,,,57.0
45,,,,,64.0,
46,,,,,32.0,
47,,,,,,69.0
48,,,,,,31.0
49,,,,,,37.0
