,ZERO_v4_started_ZERO_v4_won,ZERO_v5_started_ZERO_v4_won,ZERO_v4_started_Tie,ZERO_v5_started_Tie,ZERO_v4_started_ZERO_v5_won,ZERO_v5_started_ZERO_v5_won
0,21.0,,,,,
1,,,,,,11.0
2,,,,,46.0,
3,,,,,,13.0
4,,,,,,9.0
5,,,,,,19.0
6,25.0,,,,,
7,,,,,,9.0
8,,,,,46.0,
9,,,,,,9.0
10,21.0,,,,,
11,37.0,,,,,
12,,,,,,9.0
13,,,100.0,,,
14,33.0,,,,,
15,33.0,,,,,
16,25.0,,,,,
17,,,,,,13.0
18,19.0,,,,,
19,,,,,46.0,
20,,,,,,9.0
21,,,,,36.0,
22,25.0,,,,,
23,,,,,18.0,
24,,,,,,33.0
25,,,,,,21.0
26,19.0,,,,,
27,,,,,,27.0
28,29.0,,,,,
29,,,,,,23.0
30,,,,,,9.0
31,29.0,,,,,
32,,,,,22.0,
33,19.0,,,,,
34,,,,,,13.0
35,19.0,,,,,
36,19.0,,,,,
37,15.0,,,,,
38,,,,,,11.0
39,,,,,,9.0
40,,,,,50.0,
41,15.0,,,,,
42,,,,,36.0,
43,,,,,,9.0
44,,,,,,17.0
45,,,,,26.0,
46,,,,,,13.0
47,,38.0,,,,
48,,,100.0,,,
49,,,,,,11.0
